Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1959¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":226,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Program
1960¿VariableDeclarator¿¿3464¿upload¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿VariableDeclarator
1961¿ObjectExpression¿¿3464¿¿¿¿¿¿ObjectExpression
1962¿VariableDeclarator¿exported¿3464¿v460¿¿¿{"start":{"line":2,"column":0},"end":{"line":223,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿VariableDeclarator
1963¿FunctionExpression¿¿3464¿anon¿¿¿{"start":{"line":2,"column":15},"end":{"line":223,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿FunctionExpression
1964¿Identifier¿¿0¿req¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Identifier
1965¿Identifier¿¿0¿res¿¿¿{"start":{"line":2,"column":30},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Identifier
1966¿Identifier¿¿0¿options¿¿¿{"start":{"line":2,"column":35},"end":{"line":2,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Identifier
1967¿Identifier¿¿0¿cb¿¿¿{"start":{"line":2,"column":44},"end":{"line":2,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Identifier
1968¿VariableDeclarator¿¿3466¿path¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿VariableDeclarator
1969¿CallExpression¿¿3466¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿CallExpression
1970¿Identifier¿¿3466¿require¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Identifier
1971¿Literal¿string¿3466¿¿'path'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Literal
1972¿VariableDeclarator¿¿3466¿fs¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿VariableDeclarator
1973¿CallExpression¿¿3466¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿CallExpression
1974¿Identifier¿¿3466¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Identifier
1975¿Literal¿string¿3466¿¿'fs'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Literal
1976¿VariableDeclarator¿¿3466¿imageMagick¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿VariableDeclarator
1977¿CallExpression¿¿3466¿¿¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿CallExpression
1978¿Identifier¿¿3466¿require¿¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Identifier
1979¿Literal¿string¿3466¿¿'imagemagick'¿¿{"start":{"line":6,"column":30},"end":{"line":6,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Literal
1980¿VariableDeclarator¿¿3466¿_¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿VariableDeclarator
1981¿CallExpression¿¿3466¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿CallExpression
1982¿Identifier¿¿3466¿require¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Identifier
1983¿Literal¿string¿3466¿¿'lodash'¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Literal
1984¿VariableDeclarator¿¿3466¿v231¿¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿VariableDeclarator
1985¿MemberExpression¿¿3466¿¿¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿MemberExpression
1986¿Identifier¿¿3466¿fs¿¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Identifier
1987¿Identifier¿¿3466¿existsSync¿¿¿{"start":{"line":9,"column":25},"end":{"line":9,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Identifier
1988¿VariableDeclarator¿¿3466¿v232¿¿¿{"start":{"line":9,"column":39},"end":{"line":9,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿VariableDeclarator
1989¿MemberExpression¿¿3466¿¿¿¿{"start":{"line":9,"column":39},"end":{"line":9,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿MemberExpression
1990¿Identifier¿¿3466¿path¿¿¿{"start":{"line":9,"column":39},"end":{"line":9,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Identifier
1991¿Identifier¿¿3466¿existsSync¿¿¿{"start":{"line":9,"column":44},"end":{"line":9,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿Identifier
1992¿VariableDeclarator¿¿3466¿_existsSync¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿VariableDeclarator
1993¿LogicalExpression¿||¿3466¿¿¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/xForum/upload-manager.js"}¿¿LogicalExpression
1994¿Identifier¿¿3466¿v231¿¿¿¿¿Identifier
1995¿Identifier¿¿3466¿v232¿¿¿¿¿Identifier
