Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
773¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿Program
774¿VariableDeclarator¿¿915¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
775¿CallExpression¿¿915¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿CallExpression
776¿Identifier¿¿915¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
777¿Literal¿string¿915¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿Literal
778¿VariableDeclarator¿¿915¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
779¿CallExpression¿¿915¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿CallExpression
780¿MemberExpression¿¿915¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿MemberExpression
781¿Identifier¿¿915¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
782¿Identifier¿¿915¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
783¿Identifier¿¿915¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
784¿Literal¿string¿915¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿Literal
785¿VariableDeclarator¿¿915¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
786¿FunctionExpression¿¿915¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿FunctionExpression
787¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
788¿VariableDeclarator¿¿917¿v66¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
789¿CallExpression¿¿917¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿CallExpression
790¿MemberExpression¿¿917¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿MemberExpression
791¿Literal¿string¿917¿¿'/..'¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿Literal
792¿Identifier¿¿917¿repeat¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
793¿Literal¿number¿917¿¿50¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿Literal
794¿VariableDeclarator¿¿917¿v67¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿VariableDeclarator
795¿BinaryExpression¿+¿917¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿BinaryExpression
796¿Identifier¿¿917¿v66¿¿¿¿¿Identifier
797¿Identifier¿¿917¿pathToFlag¿¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿Identifier
798¿ReturnStatement¿¿917¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿ReturnStatement
799¿Identifier¿¿917¿v67¿¿¿¿¿Identifier
800¿BlockStatement¿¿917¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/asset-cache_0.0.6/asset-cache.test.js"}¿¿BlockStatement
