Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1415¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":201,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿Program
1416¿VariableDeclarator¿¿2447¿http¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿VariableDeclarator
1417¿CallExpression¿¿2447¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿CallExpression
1418¿Identifier¿¿2447¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿Identifier
1419¿Literal¿string¿2447¿¿'http'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿Literal
1420¿VariableDeclarator¿¿2447¿fs¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿VariableDeclarator
1421¿CallExpression¿¿2447¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿CallExpression
1422¿Identifier¿¿2447¿require¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿Identifier
1423¿Literal¿string¿2447¿¿'fs'¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿Literal
1424¿VariableDeclarator¿¿2447¿child¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿VariableDeclarator
1425¿CallExpression¿¿2447¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿CallExpression
1426¿Identifier¿¿2447¿require¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿Identifier
1427¿Literal¿string¿2447¿¿'child_process'¿¿{"start":{"line":5,"column":20},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿Literal
1428¿VariableDeclarator¿¿2447¿util¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿VariableDeclarator
1429¿CallExpression¿¿2447¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿CallExpression
1430¿Identifier¿¿2447¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿Identifier
1431¿Literal¿string¿2447¿¿'util'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿Literal
1432¿VariableDeclarator¿¿2447¿path¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿VariableDeclarator
1433¿CallExpression¿¿2447¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿CallExpression
1434¿Identifier¿¿2447¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/bitty_0.1.0/index.js"}¿¿Identifier
