Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1048¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":144,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿Program
1049¿VariableDeclarator¿¿1817¿v97¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿VariableDeclarator
1050¿CallExpression¿¿1817¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿CallExpression
1051¿Identifier¿¿1817¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿Identifier
1052¿Literal¿string¿1817¿¿'events'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿Literal
1053¿VariableDeclarator¿¿1817¿EE¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿VariableDeclarator
1054¿MemberExpression¿¿1817¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿MemberExpression
1055¿Identifier¿¿1817¿v97¿¿¿¿¿Identifier
1056¿Identifier¿¿1817¿EventEmitter¿¿¿{"start":{"line":1,"column":27},"end":{"line":1,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿Identifier
1057¿VariableDeclarator¿¿1817¿v98¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿VariableDeclarator
1058¿CallExpression¿¿1817¿¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿CallExpression
1059¿Identifier¿¿1817¿require¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿Identifier
1060¿Literal¿string¿1817¿¿'url'¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿Literal
1061¿VariableDeclarator¿¿1817¿parse¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿VariableDeclarator
1062¿MemberExpression¿¿1817¿¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿MemberExpression
1063¿Identifier¿¿1817¿v98¿¿¿¿¿Identifier
1064¿Identifier¿¿1817¿parse¿¿¿{"start":{"line":2,"column":27},"end":{"line":2,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿Identifier
1065¿VariableDeclarator¿¿1817¿http¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿VariableDeclarator
1066¿CallExpression¿¿1817¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿CallExpression
1067¿Identifier¿¿1817¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/glance_3.0.0/index.js"}¿¿Identifier
