Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
208¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Program
209¿VariableDeclarator¿¿344¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿VariableDeclarator
210¿CallExpression¿¿344¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿CallExpression
211¿Identifier¿¿344¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Identifier
212¿Literal¿string¿344¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Literal
213¿VariableDeclarator¿¿344¿pathToFlag¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿VariableDeclarator
214¿CallExpression¿¿344¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿CallExpression
215¿MemberExpression¿¿344¿¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿MemberExpression
216¿Identifier¿¿344¿path¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Identifier
217¿Identifier¿¿344¿resolve¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Identifier
218¿Identifier¿¿344¿__dirname¿¿¿{"start":{"line":2,"column":32},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Identifier
219¿Literal¿string¿344¿¿'../flag.html'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Literal
220¿VariableDeclarator¿¿344¿genstr¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿VariableDeclarator
221¿FunctionExpression¿¿344¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿FunctionExpression
222¿Identifier¿¿0¿n¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Identifier
223¿VariableDeclarator¿¿346¿v17¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿VariableDeclarator
224¿CallExpression¿¿346¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿CallExpression
225¿MemberExpression¿¿346¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿MemberExpression
226¿Literal¿string¿346¿¿'/..'¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Literal
227¿Identifier¿¿346¿repeat¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Identifier
228¿Literal¿number¿346¿¿50¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Literal
229¿VariableDeclarator¿¿346¿v18¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿VariableDeclarator
230¿BinaryExpression¿+¿346¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿BinaryExpression
231¿Identifier¿¿346¿v17¿¿¿¿¿Identifier
232¿Identifier¿¿346¿pathToFlag¿¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Identifier
233¿ReturnStatement¿¿346¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿ReturnStatement
234¿Identifier¿¿346¿v18¿¿¿¿¿Identifier
235¿BlockStatement¿¿346¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":5,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿BlockStatement
236¿VariableDeclarator¿¿344¿v31¿¿¿{"start":{"line":6,"column":33},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿VariableDeclarator
237¿ArrowFunctionExpression¿¿344¿¿¿¿{"start":{"line":6,"column":33},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿ArrowFunctionExpression
238¿Identifier¿¿0¿done¿¿¿{"start":{"line":6,"column":34},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿Identifier
239¿VariableDeclarator¿¿348¿v19¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿VariableDeclarator
240¿CallExpression¿¿348¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿CallExpression
241¿MemberExpression¿¿348¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/secbench/lander_1.0.0/lander.test.js"}¿¿MemberExpression
