Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1168¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":96,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿Program
1169¿ExpressionStatement¿¿2066¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿ExpressionStatement
1170¿Literal¿string¿2066¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿Literal
1171¿VariableDeclarator¿¿2066¿v127¿¿¿{"start":{"line":2,"column":45},"end":{"line":2,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿VariableDeclarator
1172¿ObjectExpression¿¿2066¿¿¿¿{"start":{"line":2,"column":45},"end":{"line":2,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿ObjectExpression
1173¿Property¿¿2066¿¿¿¿{"start":{"line":2,"column":47},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿Property
1174¿Identifier¿¿2066¿value¿¿¿{"start":{"line":2,"column":47},"end":{"line":2,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿Identifier
1175¿Literal¿boolean¿2066¿¿true¿¿{"start":{"line":2,"column":54},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿Literal
1176¿VariableDeclarator¿¿2066¿v128¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿VariableDeclarator
1177¿CallExpression¿¿2066¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿CallExpression
1178¿MemberExpression¿¿2066¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿MemberExpression
1179¿Identifier¿¿2066¿Object¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿Identifier
1180¿Identifier¿¿2066¿defineProperty¿¿¿{"start":{"line":2,"column":7},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿Identifier
1181¿Identifier¿¿2066¿exports¿¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿Identifier
1182¿Literal¿string¿2066¿¿'__esModule'¿¿{"start":{"line":2,"column":31},"end":{"line":2,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿Literal
1183¿Identifier¿¿2066¿v127¿¿¿¿¿Identifier
1184¿ExpressionStatement¿¿2066¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿ExpressionStatement
1185¿Identifier¿¿2066¿v128¿¿¿¿¿Identifier
1186¿VariableDeclarator¿¿2066¿errors¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿VariableDeclarator
1187¿CallExpression¿¿2066¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿CallExpression
1188¿Identifier¿¿2066¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿Identifier
1189¿Literal¿string¿2066¿¿'restify-errors'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/restify-swagger-jsdoc/index.js"}¿¿Literal
