Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
337¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":34,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-electron-file.js"}¿¿Program
338¿ExpressionStatement¿¿573¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-electron-file.js"}¿¿ExpressionStatement
339¿Literal¿string¿573¿¿'use strict'¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-electron-file.js"}¿¿Literal
340¿VariableDeclarator¿¿573¿v28¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-electron-file.js"}¿¿VariableDeclarator
341¿CallExpression¿¿573¿¿¿¿{"start":{"line":5,"column":41},"end":{"line":5,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-electron-file.js"}¿¿CallExpression
342¿Identifier¿¿573¿require¿¿¿{"start":{"line":5,"column":41},"end":{"line":5,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-electron-file.js"}¿¿Identifier
343¿Literal¿string¿573¿¿'electron'¿¿{"start":{"line":5,"column":49},"end":{"line":5,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-electron-file.js"}¿¿Literal
344¿VariableDeclarator¿¿573¿app¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-electron-file.js"}¿¿VariableDeclarator
345¿MemberExpression¿¿573¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-electron-file.js"}¿¿MemberExpression
346¿Identifier¿¿573¿v28¿¿¿¿¿Identifier
