Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
677¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":124,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Program
678¿VariableDeclarator¿¿1149¿fs¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿VariableDeclarator
679¿CallExpression¿¿1149¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿CallExpression
680¿Identifier¿¿1149¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
681¿Literal¿string¿1149¿¿'fs'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Literal
682¿VariableDeclarator¿¿1149¿path¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿VariableDeclarator
683¿CallExpression¿¿1149¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿CallExpression
684¿Identifier¿¿1149¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
685¿Literal¿string¿1149¿¿'path'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Literal
686¿VariableDeclarator¿¿1149¿FLAGS¿¿¿{"start":{"line":5,"column":6},"end":{"line":9,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿VariableDeclarator
687¿ObjectExpression¿¿1149¿¿¿¿¿¿ObjectExpression
688¿ExpressionStatement¿¿1149¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":9,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
689¿AssignmentExpression¿=¿1149¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":9,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
690¿MemberExpression¿¿1149¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":9,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
691¿Identifier¿¿1149¿FLAGS¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
692¿Identifier¿¿1149¿main¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
693¿Literal¿string¿1149¿¿'FLAG{labor_flag_01}'¿¿{"start":{"line":6,"column":10},"end":{"line":6,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Literal
694¿ExpressionStatement¿¿1149¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":9,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
695¿AssignmentExpression¿=¿1149¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":9,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
696¿MemberExpression¿¿1149¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":9,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
697¿Identifier¿¿1149¿FLAGS¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
698¿Identifier¿¿1149¿backup¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
699¿Literal¿string¿1149¿¿'FLAG{labor_backup_flag}'¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Literal
700¿ExpressionStatement¿¿1149¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":9,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
701¿AssignmentExpression¿=¿1149¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":9,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
702¿MemberExpression¿¿1149¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":9,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
703¿Identifier¿¿1149¿FLAGS¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
704¿Identifier¿¿1149¿admin¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
705¿Literal¿string¿1149¿¿'FLAG{labor_admin_flag}'¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Literal
706¿VariableDeclarator¿¿1149¿CREDENTIALS¿¿¿{"start":{"line":12,"column":6},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿VariableDeclarator
707¿ObjectExpression¿¿1149¿¿¿¿¿¿ObjectExpression
708¿ExpressionStatement¿¿1149¿¿¿¿{"start":{"line":12,"column":6},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
709¿AssignmentExpression¿=¿1149¿¿¿¿{"start":{"line":12,"column":6},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
710¿MemberExpression¿¿1149¿¿¿¿{"start":{"line":12,"column":6},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
711¿Identifier¿¿1149¿CREDENTIALS¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
712¿Identifier¿¿1149¿admin¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
713¿Literal¿string¿1149¿¿'admin'¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Literal
714¿ExpressionStatement¿¿1149¿¿¿¿{"start":{"line":12,"column":6},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿ExpressionStatement
715¿AssignmentExpression¿=¿1149¿¿¿¿{"start":{"line":12,"column":6},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿AssignmentExpression
716¿MemberExpression¿¿1149¿¿¿¿{"start":{"line":12,"column":6},"end":{"line":15,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿MemberExpression
717¿Identifier¿¿1149¿CREDENTIALS¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/github/vuln-gov-labor/service.js"}¿¿Identifier
