Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
289¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":40,"column":93},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿Program
290¿ExpressionStatement¿¿491¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿ExpressionStatement
291¿Literal¿string¿491¿¿'use strict'¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿Literal
292¿VariableDeclarator¿¿491¿v18¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿VariableDeclarator
293¿CallExpression¿¿491¿¿¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿CallExpression
294¿Identifier¿¿491¿require¿¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿Identifier
295¿Literal¿string¿491¿¿'express-graphql'¿¿{"start":{"line":5,"column":32},"end":{"line":5,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿Literal
296¿VariableDeclarator¿¿491¿graphqlHTTP¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿VariableDeclarator
297¿MemberExpression¿¿491¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿MemberExpression
298¿Identifier¿¿491¿v18¿¿¿¿¿Identifier
299¿Identifier¿¿491¿graphqlHTTP¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿Identifier
300¿VariableDeclarator¿¿491¿v19¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿VariableDeclarator
301¿CallExpression¿¿491¿¿¿¿{"start":{"line":6,"column":24},"end":{"line":6,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿CallExpression
302¿Identifier¿¿491¿require¿¿¿{"start":{"line":6,"column":24},"end":{"line":6,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿Identifier
303¿Literal¿string¿491¿¿'graphql'¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-graphql-files.js"}¿¿Literal
