Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
406¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":40,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿Program
407¿ExpressionStatement¿¿710¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿ExpressionStatement
408¿Literal¿string¿710¿¿'use strict'¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿Literal
409¿VariableDeclarator¿¿710¿Hapi¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿VariableDeclarator
410¿CallExpression¿¿710¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿CallExpression
411¿Identifier¿¿710¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿Identifier
412¿Literal¿string¿710¿¿'@hapi/hapi'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿Literal
413¿VariableDeclarator¿¿710¿fs¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿VariableDeclarator
414¿CallExpression¿¿710¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿CallExpression
415¿Identifier¿¿710¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿Identifier
416¿Literal¿string¿710¿¿'fs'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿Literal
417¿VariableDeclarator¿¿710¿path¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿VariableDeclarator
418¿CallExpression¿¿710¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿CallExpression
419¿Identifier¿¿710¿require¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿Identifier
420¿Literal¿string¿710¿¿'path'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿Literal
421¿VariableDeclarator¿¿710¿ROOT¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿VariableDeclarator
422¿CallExpression¿¿710¿¿¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-hapi-serve.js"}¿¿CallExpression
