Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
395¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":42,"column":69},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿Program
396¿ExpressionStatement¿¿683¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿ExpressionStatement
397¿Literal¿string¿683¿¿'use strict'¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿Literal
398¿VariableDeclarator¿¿683¿express¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿VariableDeclarator
399¿CallExpression¿¿683¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿CallExpression
400¿Identifier¿¿683¿require¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿Identifier
401¿Literal¿string¿683¿¿'express'¿¿{"start":{"line":5,"column":24},"end":{"line":5,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿Literal
402¿VariableDeclarator¿¿683¿multer¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿VariableDeclarator
403¿CallExpression¿¿683¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿CallExpression
404¿Identifier¿¿683¿require¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿Identifier
405¿Literal¿string¿683¿¿'multer'¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿Literal
406¿VariableDeclarator¿¿683¿fs¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿VariableDeclarator
407¿CallExpression¿¿683¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿CallExpression
408¿Identifier¿¿683¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿Identifier
409¿Literal¿string¿683¿¿'fs'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿Literal
410¿VariableDeclarator¿¿683¿path¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿VariableDeclarator
411¿CallExpression¿¿683¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿CallExpression
412¿Identifier¿¿683¿require¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿Identifier
413¿Literal¿string¿683¿¿'path'¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿Literal
414¿VariableDeclarator¿¿683¿app¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿VariableDeclarator
415¿CallExpression¿¿683¿¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿CallExpression
416¿Identifier¿¿683¿express¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/synthetic/vuln-multer-subdir.js"}¿¿Identifier
