Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2124¿Program¿¿-1¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":247,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿Program
2125¿VariableDeclarator¿¿3715¿express¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿VariableDeclarator
2126¿CallExpression¿¿3715¿¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿CallExpression
2127¿Identifier¿¿3715¿require¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿Identifier
2128¿Literal¿string¿3715¿¿'express'¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿Literal
2129¿VariableDeclarator¿¿3715¿matchPath¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿VariableDeclarator
2130¿CallExpression¿¿3715¿¿¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿CallExpression
2131¿Identifier¿¿3715¿require¿¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿Identifier
2132¿Literal¿string¿3715¿¿'./matchPath'¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿Literal
2133¿VariableDeclarator¿¿3715¿v231¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿VariableDeclarator
2134¿CallExpression¿¿3715¿¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿CallExpression
2135¿Identifier¿¿3715¿require¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿Identifier
2136¿Literal¿string¿3715¿¿'zero-static'¿¿{"start":{"line":13,"column":30},"end":{"line":13,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿Literal
2137¿VariableDeclarator¿¿3715¿staticHandler¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿VariableDeclarator
2138¿MemberExpression¿¿3715¿¿¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿MemberExpression
2139¿Identifier¿¿3715¿v231¿¿¿¿¿Identifier
2140¿Identifier¿¿3715¿handler¿¿¿{"start":{"line":13,"column":45},"end":{"line":13,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿Identifier
2141¿VariableDeclarator¿¿3715¿path¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/path_traversal/vulcan/zero_1.0.4/index.js"}¿¿VariableDeclarator
