Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
843¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":195,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Program
844¿VariableDeclarator¿¿1462¿childProcess¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
845¿CallExpression¿¿1462¿¿¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
846¿Identifier¿¿1462¿require¿¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
847¿Literal¿string¿1462¿¿'child_process'¿¿{"start":{"line":1,"column":29},"end":{"line":1,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
848¿VariableDeclarator¿¿1462¿config¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
849¿CallExpression¿¿1462¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
850¿Identifier¿¿1462¿require¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
851¿Literal¿string¿1462¿¿'./config'¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
852¿VariableDeclarator¿¿1462¿environment¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
853¿CallExpression¿¿1462¿¿¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
854¿Identifier¿¿1462¿require¿¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
855¿Literal¿string¿1462¿¿'./environment'¿¿{"start":{"line":3,"column":28},"end":{"line":3,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
856¿VariableDeclarator¿¿1462¿fs¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
857¿CallExpression¿¿1462¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
858¿Identifier¿¿1462¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
859¿Literal¿string¿1462¿¿'fs-extra'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
860¿VariableDeclarator¿¿1462¿selfsigned¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
861¿CallExpression¿¿1462¿¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿CallExpression
862¿Identifier¿¿1462¿require¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Identifier
863¿Literal¿string¿1462¿¿'selfsigned'¿¿{"start":{"line":5,"column":27},"end":{"line":5,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿Literal
864¿VariableDeclarator¿¿1462¿v61¿¿¿{"start":{"line":9,"column":17},"end":{"line":16,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/Pilothouse/commands.js"}¿¿VariableDeclarator
865¿ObjectExpression¿¿1462¿¿¿¿¿¿ObjectExpression
