Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
950¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":115,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Program
951¿VariableDeclarator¿¿1666¿config_api¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
952¿CallExpression¿¿1666¿¿¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿CallExpression
953¿Identifier¿¿1666¿require¿¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
954¿Literal¿string¿1666¿¿'./config'¿¿{"start":{"line":1,"column":27},"end":{"line":1,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
955¿VariableDeclarator¿¿1666¿logger¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
956¿CallExpression¿¿1666¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿CallExpression
957¿Identifier¿¿1666¿require¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
958¿Literal¿string¿1666¿¿'./logger'¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
959¿VariableDeclarator¿¿1666¿moment¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
960¿CallExpression¿¿1666¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿CallExpression
961¿Identifier¿¿1666¿require¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
962¿Literal¿string¿1666¿¿'moment'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
963¿VariableDeclarator¿¿1666¿fs¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
964¿CallExpression¿¿1666¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿CallExpression
965¿Identifier¿¿1666¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
966¿Literal¿string¿1666¿¿'fs-extra'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
967¿VariableDeclarator¿¿1666¿path¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
968¿CallExpression¿¿1666¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿CallExpression
969¿Identifier¿¿1666¿require¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Identifier
970¿Literal¿string¿1666¿¿'path'¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿Literal
971¿VariableDeclarator¿exported¿1666¿getCommentsForVOD¿¿¿{"start":{"line":8,"column":0},"end":{"line":43,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿VariableDeclarator
972¿FunctionExpression¿¿1666¿anon¿¿¿{"start":{"line":8,"column":0},"end":{"line":43,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/YoutubeDL-Material/twitch.js"}¿¿FunctionExpression
