Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1482¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":220,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/admincraft-websocket/server.js"}¿¿Program
1483¿VariableDeclarator¿¿2590¿fs¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/admincraft-websocket/server.js"}¿¿VariableDeclarator
1484¿CallExpression¿¿2590¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/admincraft-websocket/server.js"}¿¿CallExpression
1485¿Identifier¿¿2590¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/admincraft-websocket/server.js"}¿¿Identifier
1486¿Literal¿string¿2590¿¿'fs'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/admincraft-websocket/server.js"}¿¿Literal
1487¿VariableDeclarator¿¿2590¿https¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/admincraft-websocket/server.js"}¿¿VariableDeclarator
1488¿CallExpression¿¿2590¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/admincraft-websocket/server.js"}¿¿CallExpression
1489¿Identifier¿¿2590¿require¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/admincraft-websocket/server.js"}¿¿Identifier
1490¿Literal¿string¿2590¿¿'https'¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/admincraft-websocket/server.js"}¿¿Literal
1491¿VariableDeclarator¿¿2590¿http¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/admincraft-websocket/server.js"}¿¿VariableDeclarator
1492¿CallExpression¿¿2590¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/admincraft-websocket/server.js"}¿¿CallExpression
