Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
558¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":75,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿Program
559¿VariableDeclarator¿¿956¿v57¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿VariableDeclarator
560¿CallExpression¿¿956¿¿¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿CallExpression
561¿Identifier¿¿956¿require¿¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿Identifier
562¿Literal¿string¿956¿¿'child_process'¿¿{"start":{"line":1,"column":29},"end":{"line":1,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿Literal
563¿VariableDeclarator¿¿956¿execFile¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿VariableDeclarator
564¿MemberExpression¿¿956¿¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿MemberExpression
565¿Identifier¿¿956¿v57¿¿¿¿¿Identifier
566¿Identifier¿¿956¿execFile¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿Identifier
567¿VariableDeclarator¿¿956¿fs¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿VariableDeclarator
568¿CallExpression¿¿956¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿CallExpression
569¿Identifier¿¿956¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿Identifier
570¿Literal¿string¿956¿¿'fs'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿Literal
571¿VariableDeclarator¿¿956¿path¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿VariableDeclarator
572¿CallExpression¿¿956¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿CallExpression
573¿Identifier¿¿956¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿Identifier
574¿Literal¿string¿956¿¿'path'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿Literal
575¿VariableDeclarator¿¿956¿splitArgs¿¿¿{"start":{"line":6,"column":0},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿VariableDeclarator
576¿FunctionExpression¿¿956¿anon¿¿¿{"start":{"line":6,"column":0},"end":{"line":13,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿FunctionExpression
577¿Identifier¿¿0¿str¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿Identifier
578¿VariableDeclarator¿¿958¿v58¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿VariableDeclarator
579¿UnaryExpression¿!¿958¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿UnaryExpression
580¿Identifier¿¿958¿str¿¿¿{"start":{"line":7,"column":7},"end":{"line":7,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿Identifier
581¿IfStatement¿¿958¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿IfStatement
582¿Identifier¿¿958¿v58¿¿¿¿¿Identifier
583¿VariableDeclarator¿¿958¿v59¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿VariableDeclarator
584¿ArrayExpression¿¿958¿¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿ArrayExpression
585¿ReturnStatement¿¿958¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿ReturnStatement
586¿Identifier¿¿958¿v59¿¿¿¿¿Identifier
587¿BlockStatement¿¿958¿¿¿¿¿¿BlockStatement
588¿VariableDeclarator¿¿958¿out¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿VariableDeclarator
589¿ArrayExpression¿¿958¿¿¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿ArrayExpression
590¿VariableDeclarator¿¿958¿re¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿VariableDeclarator
591¿Literal¿object¿958¿¿/'([^']*)'|'([^']*)'|(\S+)/g¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿Literal
592¿VariableDeclarator¿¿958¿m¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿VariableDeclarator
593¿WhileStatement¿¿958¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/chat-web/electron_winSign.js"}¿¿WhileStatement
