Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
836¿Program¿¿-1¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":131,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Program
837¿ImportDeclaration¿¿1451¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":18,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ImportDeclaration
838¿ImportDeclaration¿¿1451¿¿¿¿{"start":{"line":19,"column":0},"end":{"line":19,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ImportDeclaration
839¿ImportDeclaration¿¿1451¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ImportDeclaration
840¿VariableDeclarator¿¿1451¿root¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
841¿CallExpression¿¿1451¿¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿CallExpression
842¿MemberExpression¿¿1451¿¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
843¿Identifier¿¿1451¿process¿¿¿{"start":{"line":22,"column":13},"end":{"line":22,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
844¿Identifier¿¿1451¿cwd¿¿¿{"start":{"line":22,"column":21},"end":{"line":22,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
845¿VariableDeclarator¿¿1451¿tmpDir¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
846¿CallExpression¿¿1451¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿CallExpression
847¿MemberExpression¿¿1451¿¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿MemberExpression
848¿Identifier¿¿1451¿path¿¿¿{"start":{"line":23,"column":15},"end":{"line":23,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
849¿Identifier¿¿1451¿join¿¿¿{"start":{"line":23,"column":20},"end":{"line":23,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
850¿Identifier¿¿1451¿root¿¿¿{"start":{"line":23,"column":25},"end":{"line":23,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Identifier
851¿Literal¿string¿1451¿¿'.precommit-sim'¿¿{"start":{"line":23,"column":31},"end":{"line":23,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿Literal
852¿VariableDeclarator¿¿1451¿v72¿¿¿{"start":{"line":28,"column":12},"end":{"line":31,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
853¿ArrowFunctionExpression¿¿1451¿¿¿¿{"start":{"line":28,"column":12},"end":{"line":31,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿ArrowFunctionExpression
854¿VariableDeclarator¿¿1453¿file¿¿¿{"start":{"line":29,"column":12},"end":{"line":29,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/critgenius-listener/precommit-simulate.js"}¿¿VariableDeclarator
