Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
330¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ese-companion/cryptoHelper.js"}¿¿Program
331¿VariableDeclarator¿¿553¿crypto¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ese-companion/cryptoHelper.js"}¿¿VariableDeclarator
332¿CallExpression¿¿553¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ese-companion/cryptoHelper.js"}¿¿CallExpression
333¿Identifier¿¿553¿require¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ese-companion/cryptoHelper.js"}¿¿Identifier
334¿Literal¿string¿553¿¿'crypto'¿¿{"start":{"line":1,"column":23},"end":{"line":1,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ese-companion/cryptoHelper.js"}¿¿Literal
335¿VariableDeclarator¿¿553¿util¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ese-companion/cryptoHelper.js"}¿¿VariableDeclarator
336¿CallExpression¿¿553¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ese-companion/cryptoHelper.js"}¿¿CallExpression
337¿Identifier¿¿553¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ese-companion/cryptoHelper.js"}¿¿Identifier
338¿Literal¿string¿553¿¿'util'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ese-companion/cryptoHelper.js"}¿¿Literal
339¿VariableDeclarator¿¿553¿v23¿¿¿{"start":{"line":3,"column":28},"end":{"line":3,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/ese-companion/cryptoHelper.js"}¿¿VariableDeclarator
