Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
373¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":39,"column":79},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Program
374¿VariableDeclarator¿¿635¿express¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿VariableDeclarator
375¿CallExpression¿¿635¿¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿CallExpression
376¿Identifier¿¿635¿require¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Identifier
377¿Literal¿string¿635¿¿'express'¿¿{"start":{"line":1,"column":22},"end":{"line":1,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Literal
378¿VariableDeclarator¿¿635¿shellescape¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿VariableDeclarator
379¿CallExpression¿¿635¿¿¿¿{"start":{"line":2,"column":18},"end":{"line":2,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿CallExpression
380¿Identifier¿¿635¿require¿¿¿{"start":{"line":2,"column":18},"end":{"line":2,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Identifier
381¿Literal¿string¿635¿¿'shell-escape'¿¿{"start":{"line":2,"column":26},"end":{"line":2,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Literal
382¿VariableDeclarator¿¿635¿config¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿VariableDeclarator
383¿CallExpression¿¿635¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿CallExpression
384¿Identifier¿¿635¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Identifier
385¿Literal¿string¿635¿¿'config'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Literal
386¿VariableDeclarator¿¿635¿v34¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿VariableDeclarator
387¿CallExpression¿¿635¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿CallExpression
388¿Identifier¿¿635¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Identifier
389¿Literal¿string¿635¿¿'child_process'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Literal
390¿VariableDeclarator¿¿635¿exec¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿VariableDeclarator
391¿MemberExpression¿¿635¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿MemberExpression
392¿Identifier¿¿635¿v34¿¿¿¿¿Identifier
393¿Identifier¿¿635¿exec¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Identifier
394¿VariableDeclarator¿¿635¿app¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿VariableDeclarator
395¿CallExpression¿¿635¿¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿CallExpression
396¿Identifier¿¿635¿express¿¿¿{"start":{"line":5,"column":10},"end":{"line":5,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Identifier
397¿VariableDeclarator¿¿635¿v37¿¿¿{"start":{"line":7,"column":13},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿VariableDeclarator
398¿FunctionExpression¿¿635¿anon¿¿¿{"start":{"line":7,"column":13},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿FunctionExpression
399¿Identifier¿¿0¿req¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Identifier
400¿Identifier¿¿0¿res¿¿¿{"start":{"line":7,"column":27},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Identifier
401¿VariableDeclarator¿¿637¿phrase¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿VariableDeclarator
402¿Literal¿string¿637¿¿'Hello my name is Mia!'¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Literal
403¿VariableDeclarator¿¿637¿v35¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿VariableDeclarator
404¿CallExpression¿¿637¿¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿CallExpression
405¿Identifier¿¿637¿say¿¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/mia-body/app.js"}¿¿Identifier
