Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1048¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":145,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿Program
1049¿ExpressionStatement¿¿1828¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿ExpressionStatement
1050¿Literal¿string¿1828¿¿'use strict'¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿Literal
1051¿VariableDeclarator¿¿1828¿v109¿¿¿{"start":{"line":5,"column":6},"end":{"line":10,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿VariableDeclarator
1052¿CallExpression¿¿1828¿¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿CallExpression
1053¿Identifier¿¿1828¿require¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿Identifier
1054¿Literal¿string¿1828¿¿'./util'¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿Literal
1055¿VariableDeclarator¿¿1828¿log¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿VariableDeclarator
1056¿MemberExpression¿¿1828¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿MemberExpression
1057¿Identifier¿¿1828¿v109¿¿¿¿¿Identifier
1058¿Identifier¿¿1828¿log¿¿¿{"start":{"line":6,"column":2},"end":{"line":6,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿Identifier
1059¿VariableDeclarator¿¿1828¿err¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿VariableDeclarator
1060¿MemberExpression¿¿1828¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿MemberExpression
1061¿Identifier¿¿1828¿v109¿¿¿¿¿Identifier
1062¿Identifier¿¿1828¿err¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿Identifier
1063¿VariableDeclarator¿¿1828¿guessNpmLocation¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿VariableDeclarator
1064¿MemberExpression¿¿1828¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/npm-adblock/hookNpm.js"}¿¿MemberExpression
