Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
411¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":89,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿Program
412¿ImportDeclaration¿¿712¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿ImportDeclaration
413¿ImportDeclaration¿¿712¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿ImportDeclaration
414¿ImportDeclaration¿¿712¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿ImportDeclaration
415¿VariableDeclarator¿¿712¿escapeDrawtextText¿¿¿{"start":{"line":9,"column":0},"end":{"line":14,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿VariableDeclarator
416¿FunctionExpression¿¿712¿anon¿¿¿{"start":{"line":9,"column":0},"end":{"line":14,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿FunctionExpression
417¿Identifier¿¿0¿s¿¿¿{"start":{"line":9,"column":28},"end":{"line":9,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿Identifier
418¿VariableDeclarator¿¿714¿v35¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿VariableDeclarator
419¿CallExpression¿¿714¿¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿CallExpression
420¿Identifier¿¿714¿String¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿Identifier
421¿Identifier¿¿714¿s¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿Identifier
422¿VariableDeclarator¿¿714¿v36¿¿¿{"start":{"line":10,"column":9},"end":{"line":11,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿VariableDeclarator
423¿CallExpression¿¿714¿¿¿¿{"start":{"line":10,"column":9},"end":{"line":11,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿CallExpression
424¿MemberExpression¿¿714¿¿¿¿{"start":{"line":10,"column":9},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿MemberExpression
425¿Identifier¿¿714¿v35¿¿¿¿¿Identifier
426¿Identifier¿¿714¿replace¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿Identifier
427¿Literal¿object¿714¿¿/\\/g¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿Literal
428¿Literal¿string¿714¿¿'\\\\'¿¿{"start":{"line":11,"column":20},"end":{"line":11,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/one-stop-marketing/temp.js"}¿¿Literal
