Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
724¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":99,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Program
725¿VariableDeclarator¿¿1211¿v52¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
726¿CallExpression¿¿1211¿¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿CallExpression
727¿Identifier¿¿1211¿require¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
728¿Literal¿string¿1211¿¿'child_process'¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Literal
729¿VariableDeclarator¿¿1211¿execFile¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
730¿MemberExpression¿¿1211¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿MemberExpression
731¿Identifier¿¿1211¿v52¿¿¿¿¿Identifier
732¿Identifier¿¿1211¿execFile¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
733¿VariableDeclarator¿¿1211¿util¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
734¿CallExpression¿¿1211¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿CallExpression
735¿Identifier¿¿1211¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
736¿Literal¿string¿1211¿¿'util'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Literal
737¿VariableDeclarator¿¿1211¿execFilePromise¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
738¿CallExpression¿¿1211¿¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿CallExpression
739¿MemberExpression¿¿1211¿¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿MemberExpression
740¿Identifier¿¿1211¿util¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
741¿Identifier¿¿1211¿promisify¿¿¿{"start":{"line":4,"column":29},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
742¿Identifier¿¿1211¿execFile¿¿¿{"start":{"line":4,"column":39},"end":{"line":4,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿Identifier
743¿VariableDeclarator¿¿1211¿v53¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿VariableDeclarator
744¿CallExpression¿¿1211¿¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/pangolin-managment-bot/shellCommands.js"}¿¿CallExpression
