Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
540¿Program¿¿-1¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":65,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿Program
541¿VariableDeclarator¿¿912¿v44¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿VariableDeclarator
542¿CallExpression¿¿912¿¿¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿CallExpression
543¿Identifier¿¿912¿require¿¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿Identifier
544¿Literal¿string¿912¿¿'os'¿¿{"start":{"line":4,"column":29},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿Literal
545¿VariableDeclarator¿¿912¿platform¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿VariableDeclarator
546¿MemberExpression¿¿912¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿MemberExpression
547¿Identifier¿¿912¿v44¿¿¿¿¿Identifier
548¿Identifier¿¿912¿platform¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿Identifier
549¿VariableDeclarator¿¿912¿child_process¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿VariableDeclarator
550¿CallExpression¿¿912¿¿¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿CallExpression
551¿Identifier¿¿912¿require¿¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿Identifier
552¿Literal¿string¿912¿¿'child_process'¿¿{"start":{"line":5,"column":30},"end":{"line":5,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿Literal
553¿VariableDeclarator¿¿912¿crossSpawn¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿VariableDeclarator
554¿CallExpression¿¿912¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿CallExpression
555¿Identifier¿¿912¿require¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿Identifier
556¿Literal¿string¿912¿¿'cross-spawn'¿¿{"start":{"line":6,"column":27},"end":{"line":6,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rails-auto-migrate/ruby-spawn.js"}¿¿Literal
