Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2485¿Program¿¿-1¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":674,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rest-base/create-project.js"}¿¿Program
2486¿VariableDeclarator¿¿4374¿v211¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rest-base/create-project.js"}¿¿VariableDeclarator
2487¿CallExpression¿¿4374¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rest-base/create-project.js"}¿¿CallExpression
2488¿Identifier¿¿4374¿require¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rest-base/create-project.js"}¿¿Identifier
2489¿Literal¿string¿4374¿¿'fs'¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rest-base/create-project.js"}¿¿Literal
2490¿VariableDeclarator¿¿4374¿fs¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rest-base/create-project.js"}¿¿VariableDeclarator
2491¿MemberExpression¿¿4374¿¿¿¿{"start":{"line":11,"column":11},"end":{"line":11,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rest-base/create-project.js"}¿¿MemberExpression
2492¿Identifier¿¿4374¿v211¿¿¿¿¿Identifier
2493¿Identifier¿¿4374¿promises¿¿¿{"start":{"line":11,"column":25},"end":{"line":11,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rest-base/create-project.js"}¿¿Identifier
2494¿VariableDeclarator¿¿4374¿fsSync¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rest-base/create-project.js"}¿¿VariableDeclarator
2495¿CallExpression¿¿4374¿¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rest-base/create-project.js"}¿¿CallExpression
2496¿Identifier¿¿4374¿require¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/rest-base/create-project.js"}¿¿Identifier
