Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
429¿Program¿¿-1¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":86,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/zopio/studio.js"}¿¿Program
430¿VariableDeclarator¿¿746¿path¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/zopio/studio.js"}¿¿VariableDeclarator
431¿CallExpression¿¿746¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/zopio/studio.js"}¿¿CallExpression
432¿Identifier¿¿746¿require¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/zopio/studio.js"}¿¿Identifier
433¿Literal¿string¿746¿¿'node:path'¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/zopio/studio.js"}¿¿Literal
434¿VariableDeclarator¿¿746¿fs¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/zopio/studio.js"}¿¿VariableDeclarator
435¿CallExpression¿¿746¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/zopio/studio.js"}¿¿CallExpression
436¿Identifier¿¿746¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/zopio/studio.js"}¿¿Identifier
437¿Literal¿string¿746¿¿'node:fs'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/zopio/studio.js"}¿¿Literal
438¿VariableDeclarator¿¿746¿ENV_LINE_REGEX¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/zopio/studio.js"}¿¿VariableDeclarator
439¿Literal¿object¿746¿¿/^([^=]+)=(.*)$/¿¿{"start":{"line":10,"column":23},"end":{"line":10,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/github/zopio/studio.js"}¿¿Literal
