Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
256¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":41,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿Program
257¿ExpressionStatement¿¿436¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿ExpressionStatement
258¿Literal¿string¿436¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿Literal
259¿VariableDeclarator¿¿436¿childProcess¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿VariableDeclarator
260¿CallExpression¿¿436¿¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿CallExpression
261¿Identifier¿¿436¿require¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿Identifier
262¿Literal¿string¿436¿¿'child_process'¿¿{"start":{"line":3,"column":29},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿Literal
263¿VariableDeclarator¿¿436¿v22¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿VariableDeclarator
264¿CallExpression¿¿436¿¿¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿CallExpression
265¿Identifier¿¿436¿require¿¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿Identifier
266¿Literal¿string¿436¿¿'shescape'¿¿{"start":{"line":4,"column":29},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿Literal
267¿VariableDeclarator¿¿436¿quoteAll¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿VariableDeclarator
268¿MemberExpression¿¿436¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿MemberExpression
269¿Identifier¿¿436¿v22¿¿¿¿¿Identifier
270¿Identifier¿¿436¿quoteAll¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿Identifier
271¿VariableDeclarator¿exported¿436¿execute¿¿¿{"start":{"line":10,"column":0},"end":{"line":39,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿VariableDeclarator
272¿FunctionExpression¿¿436¿anon¿¿¿{"start":{"line":10,"column":0},"end":{"line":39,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿FunctionExpression
273¿Identifier¿¿0¿command¿¿¿{"start":{"line":10,"column":17},"end":{"line":10,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿Identifier
274¿AssignmentPattern¿¿0¿¿¿¿{"start":{"line":10,"column":26},"end":{"line":10,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿AssignmentPattern
275¿Identifier¿¿0¿options¿¿¿{"start":{"line":10,"column":37},"end":{"line":10,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿Identifier
276¿VariableDeclarator¿¿438¿spawnOptions¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-cocoapods-plugin/sub-process.js"}¿¿VariableDeclarator
277¿ObjectExpression¿¿438¿¿¿¿¿¿ObjectExpression
