Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
263¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":52,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿Program
264¿ExpressionStatement¿¿445¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿ExpressionStatement
265¿Literal¿string¿445¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿Literal
266¿VariableDeclarator¿¿445¿childProcess¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿VariableDeclarator
267¿CallExpression¿¿445¿¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿CallExpression
268¿Identifier¿¿445¿require¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿Identifier
269¿Literal¿string¿445¿¿'child_process'¿¿{"start":{"line":3,"column":29},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿Literal
270¿VariableDeclarator¿¿445¿v19¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿VariableDeclarator
271¿CallExpression¿¿445¿¿¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿CallExpression
272¿Identifier¿¿445¿require¿¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿Identifier
273¿Literal¿string¿445¿¿'shescape'¿¿{"start":{"line":4,"column":29},"end":{"line":4,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿Literal
274¿VariableDeclarator¿¿445¿quoteAll¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿VariableDeclarator
275¿MemberExpression¿¿445¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-docker-plugin/sub-process.js"}¿¿MemberExpression
276¿Identifier¿¿445¿v19¿¿¿¿¿Identifier
