Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
331¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":68,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Program
332¿ExpressionStatement¿¿565¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿ExpressionStatement
333¿Literal¿string¿565¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Literal
334¿VariableDeclarator¿¿565¿childProcess¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿VariableDeclarator
335¿CallExpression¿¿565¿¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿CallExpression
336¿Identifier¿¿565¿require¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
337¿Literal¿string¿565¿¿'child_process'¿¿{"start":{"line":3,"column":29},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Literal
338¿VariableDeclarator¿¿565¿debug¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿VariableDeclarator
339¿CallExpression¿¿565¿¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿CallExpression
340¿Identifier¿¿565¿require¿¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
341¿Literal¿string¿565¿¿'debug'¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Literal
342¿VariableDeclarator¿¿565¿v26¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿VariableDeclarator
343¿CallExpression¿¿565¿¿¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿CallExpression
344¿Identifier¿¿565¿require¿¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
345¿Literal¿string¿565¿¿'shescape'¿¿{"start":{"line":5,"column":29},"end":{"line":5,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Literal
346¿VariableDeclarator¿¿565¿quoteAll¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿VariableDeclarator
347¿MemberExpression¿¿565¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿MemberExpression
348¿Identifier¿¿565¿v26¿¿¿¿¿Identifier
349¿Identifier¿¿565¿quoteAll¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
350¿VariableDeclarator¿¿565¿debugLogging¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿VariableDeclarator
351¿CallExpression¿¿565¿¿¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿CallExpression
352¿Identifier¿¿565¿debug¿¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
353¿Literal¿string¿565¿¿'snyk-gradle-plugin'¿¿{"start":{"line":7,"column":27},"end":{"line":7,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Literal
354¿VariableDeclarator¿exported¿565¿execute¿¿¿{"start":{"line":18,"column":0},"end":{"line":66,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿VariableDeclarator
355¿FunctionExpression¿¿565¿anon¿¿¿{"start":{"line":18,"column":0},"end":{"line":66,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿FunctionExpression
356¿Identifier¿¿0¿command¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
357¿Identifier¿¿0¿args¿¿¿{"start":{"line":18,"column":26},"end":{"line":18,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
358¿Identifier¿¿0¿options¿¿¿{"start":{"line":18,"column":32},"end":{"line":18,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
359¿Identifier¿¿0¿perLineCallback¿¿¿{"start":{"line":18,"column":41},"end":{"line":18,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
360¿VariableDeclarator¿¿567¿spawnOptions¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿VariableDeclarator
361¿ObjectExpression¿¿567¿¿¿¿¿¿ObjectExpression
362¿ExpressionStatement¿¿567¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿ExpressionStatement
363¿AssignmentExpression¿=¿567¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿AssignmentExpression
364¿MemberExpression¿¿567¿¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿MemberExpression
365¿Identifier¿¿567¿spawnOptions¿¿¿{"start":{"line":19,"column":8},"end":{"line":19,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
366¿Identifier¿¿567¿shell¿¿¿{"start":{"line":19,"column":25},"end":{"line":19,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
367¿Literal¿boolean¿567¿¿true¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Literal
368¿VariableDeclarator¿¿567¿v27¿¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿VariableDeclarator
369¿MemberExpression¿¿567¿¿¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿MemberExpression
370¿Identifier¿¿567¿options¿¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
371¿Identifier¿¿567¿cwd¿¿¿{"start":{"line":20,"column":25},"end":{"line":20,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
372¿VariableDeclarator¿¿567¿v28¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿VariableDeclarator
373¿LogicalExpression¿&&¿567¿¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿LogicalExpression
374¿Identifier¿¿567¿options¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
375¿Identifier¿¿567¿v27¿¿¿¿¿Identifier
376¿IfStatement¿¿567¿¿¿¿{"start":{"line":20,"column":2},"end":{"line":22,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿IfStatement
377¿Identifier¿¿567¿v28¿¿¿¿¿Identifier
378¿VariableDeclarator¿¿567¿v29¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿VariableDeclarator
379¿MemberExpression¿¿567¿¿¿¿{"start":{"line":21,"column":23},"end":{"line":21,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿MemberExpression
380¿Identifier¿¿567¿options¿¿¿{"start":{"line":21,"column":23},"end":{"line":21,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
381¿Identifier¿¿567¿cwd¿¿¿{"start":{"line":21,"column":31},"end":{"line":21,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿Identifier
382¿ExpressionStatement¿¿567¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿ExpressionStatement
383¿AssignmentExpression¿=¿567¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿AssignmentExpression
384¿MemberExpression¿¿567¿¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-gradle-plugin/sub-process.js"}¿¿MemberExpression
