Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
330¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":54,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Program
331¿ExpressionStatement¿¿568¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿ExpressionStatement
332¿Literal¿string¿568¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Literal
333¿VariableDeclarator¿¿568¿childProcess¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿VariableDeclarator
334¿CallExpression¿¿568¿¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿CallExpression
335¿Identifier¿¿568¿require¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Identifier
336¿Literal¿string¿568¿¿'child_process'¿¿{"start":{"line":3,"column":29},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Literal
337¿VariableDeclarator¿¿568¿v31¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿VariableDeclarator
338¿CallExpression¿¿568¿¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿CallExpression
339¿Identifier¿¿568¿require¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Identifier
340¿Literal¿string¿568¿¿'./debug'¿¿{"start":{"line":4,"column":26},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Literal
341¿VariableDeclarator¿¿568¿debug¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿VariableDeclarator
342¿MemberExpression¿¿568¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿MemberExpression
343¿Identifier¿¿568¿v31¿¿¿¿¿Identifier
344¿Identifier¿¿568¿debug¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Identifier
345¿VariableDeclarator¿¿568¿v32¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿VariableDeclarator
346¿CallExpression¿¿568¿¿¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿CallExpression
347¿Identifier¿¿568¿require¿¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Identifier
348¿Literal¿string¿568¿¿'shescape'¿¿{"start":{"line":5,"column":29},"end":{"line":5,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Literal
349¿VariableDeclarator¿¿568¿quoteAll¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿VariableDeclarator
350¿MemberExpression¿¿568¿¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿MemberExpression
351¿Identifier¿¿568¿v32¿¿¿¿¿Identifier
352¿Identifier¿¿568¿quoteAll¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Identifier
353¿VariableDeclarator¿exported¿568¿execute¿¿¿{"start":{"line":15,"column":0},"end":{"line":52,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿VariableDeclarator
354¿FunctionExpression¿¿568¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":52,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿FunctionExpression
355¿Identifier¿¿0¿command¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Identifier
356¿Identifier¿¿0¿args¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Identifier
357¿Identifier¿¿0¿options¿¿¿{"start":{"line":15,"column":32},"end":{"line":15,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Identifier
358¿VariableDeclarator¿¿570¿v33¿¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿VariableDeclarator
359¿CallExpression¿¿570¿¿¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿CallExpression
360¿MemberExpression¿¿570¿¿¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿MemberExpression
361¿Identifier¿¿570¿args¿¿¿{"start":{"line":16,"column":31},"end":{"line":16,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Identifier
362¿Identifier¿¿570¿join¿¿¿{"start":{"line":16,"column":36},"end":{"line":16,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Identifier
363¿Literal¿string¿570¿¿' '¿¿{"start":{"line":16,"column":41},"end":{"line":16,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Literal
364¿VariableDeclarator¿¿570¿v34¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿VariableDeclarator
365¿TemplateLiteral¿¿570¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿TemplateLiteral
366¿Identifier¿¿570¿command¿¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Identifier
367¿Identifier¿¿570¿v33¿¿¿¿¿Identifier
368¿VariableDeclarator¿¿570¿v35¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿VariableDeclarator
369¿CallExpression¿¿570¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿CallExpression
370¿Identifier¿¿570¿debug¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿Identifier
371¿Identifier¿¿570¿v34¿¿¿¿¿Identifier
372¿ExpressionStatement¿¿570¿¿¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿ExpressionStatement
373¿Identifier¿¿570¿v35¿¿¿¿¿Identifier
374¿VariableDeclarator¿¿570¿spawnOptions¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿VariableDeclarator
375¿ObjectExpression¿¿570¿¿¿¿¿¿ObjectExpression
376¿ExpressionStatement¿¿570¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿ExpressionStatement
377¿AssignmentExpression¿=¿570¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿AssignmentExpression
378¿MemberExpression¿¿570¿¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/recent_snyk/snyk-hex-plugin/sub-process.js"}¿¿MemberExpression
