Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
703¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":129,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Program
704¿ExpressionStatement¿¿1223¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿ExpressionStatement
705¿Literal¿string¿1223¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
706¿VariableDeclarator¿¿1223¿net¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
707¿CallExpression¿¿1223¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
708¿Identifier¿¿1223¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
709¿Literal¿string¿1223¿¿'net'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
710¿VariableDeclarator¿¿1223¿util¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
711¿CallExpression¿¿1223¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
712¿Identifier¿¿1223¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
713¿Literal¿string¿1223¿¿'util'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
714¿VariableDeclarator¿¿1223¿path¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
715¿CallExpression¿¿1223¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
716¿Identifier¿¿1223¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
717¿Literal¿string¿1223¿¿'path'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
718¿VariableDeclarator¿¿1223¿shell¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿VariableDeclarator
719¿CallExpression¿¿1223¿¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿CallExpression
720¿Identifier¿¿1223¿require¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Identifier
721¿Literal¿string¿1223¿¿'child_process'¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/connection-tester_0.2.0/connection_tester_0.2.1.js"}¿¿Literal
