Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1060¿Program¿¿-1¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":243,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿Program
1061¿ExpressionStatement¿¿1842¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿ExpressionStatement
1062¿Literal¿string¿1842¿¿'use strict'¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿Literal
1063¿VariableDeclarator¿¿1842¿async¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿VariableDeclarator
1064¿CallExpression¿¿1842¿¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿CallExpression
1065¿Identifier¿¿1842¿require¿¿¿{"start":{"line":9,"column":14},"end":{"line":9,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿Identifier
1066¿Literal¿string¿1842¿¿'async'¿¿{"start":{"line":9,"column":22},"end":{"line":9,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿Literal
1067¿VariableDeclarator¿¿1842¿merge¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿VariableDeclarator
1068¿CallExpression¿¿1842¿¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿CallExpression
1069¿Identifier¿¿1842¿require¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿Identifier
1070¿Literal¿string¿1842¿¿'deepmerge'¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿Literal
1071¿VariableDeclarator¿¿1842¿caller¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿VariableDeclarator
1072¿CallExpression¿¿1842¿¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿CallExpression
1073¿Identifier¿¿1842¿require¿¿¿{"start":{"line":11,"column":15},"end":{"line":11,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿Identifier
1074¿Literal¿string¿1842¿¿'stack-trace'¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿Literal
1075¿VariableDeclarator¿¿1842¿v78¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿VariableDeclarator
1076¿CallExpression¿¿1842¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿CallExpression
1077¿Identifier¿¿1842¿require¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿Identifier
1078¿Literal¿string¿1842¿¿'child_process'¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿Literal
1079¿VariableDeclarator¿¿1842¿proc¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿VariableDeclarator
1080¿MemberExpression¿¿1842¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿MemberExpression
1081¿Identifier¿¿1842¿v78¿¿¿¿¿Identifier
1082¿Identifier¿¿1842¿spawn¿¿¿{"start":{"line":12,"column":38},"end":{"line":12,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿Identifier
1083¿VariableDeclarator¿¿1842¿v79¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿VariableDeclarator
1084¿CallExpression¿¿1842¿¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/libnmap_0.4.11/libnmap.js"}¿¿CallExpression
