Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1952¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":226,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Program
1953¿VariableDeclarator¿¿3324¿v194¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿VariableDeclarator
1954¿CallExpression¿¿3324¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿CallExpression
1955¿Identifier¿¿3324¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
1956¿Literal¿string¿3324¿¿'es6-promise'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Literal
1957¿VariableDeclarator¿¿3324¿Promise¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿VariableDeclarator
1958¿MemberExpression¿¿3324¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿MemberExpression
1959¿Identifier¿¿3324¿v194¿¿¿¿¿Identifier
1960¿Identifier¿¿3324¿Promise¿¿¿{"start":{"line":3,"column":37},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
1961¿VariableDeclarator¿¿3324¿path¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿VariableDeclarator
1962¿CallExpression¿¿3324¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿CallExpression
1963¿Identifier¿¿3324¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
1964¿Literal¿string¿3324¿¿'path'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Literal
1965¿VariableDeclarator¿¿3324¿fs¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿VariableDeclarator
1966¿CallExpression¿¿3324¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿CallExpression
1967¿Identifier¿¿3324¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
1968¿Literal¿string¿3324¿¿'fs'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Literal
1969¿VariableDeclarator¿¿3324¿util¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿VariableDeclarator
1970¿CallExpression¿¿3324¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿CallExpression
1971¿Identifier¿¿3324¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
1972¿Literal¿string¿3324¿¿'util'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Literal
1973¿VariableDeclarator¿¿3324¿v195¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿VariableDeclarator
1974¿CallExpression¿¿3324¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿CallExpression
1975¿Identifier¿¿3324¿require¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
1976¿Literal¿string¿3324¿¿'child-process-promise'¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Literal
1977¿VariableDeclarator¿¿3324¿spawn¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿VariableDeclarator
1978¿MemberExpression¿¿3324¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿MemberExpression
1979¿Identifier¿¿3324¿v195¿¿¿¿¿Identifier
1980¿Identifier¿¿3324¿spawn¿¿¿{"start":{"line":8,"column":45},"end":{"line":8,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
1981¿VariableDeclarator¿exported¿3324¿PDFImage¿¿¿{"start":{"line":10,"column":0},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿VariableDeclarator
1982¿FunctionExpression¿¿3324¿anon¿¿¿{"start":{"line":10,"column":0},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿FunctionExpression
1983¿Identifier¿¿0¿pdfFilePath¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
1984¿Identifier¿¿0¿options¿¿¿{"start":{"line":10,"column":31},"end":{"line":10,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
1985¿VariableDeclarator¿¿3326¿v196¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿VariableDeclarator
1986¿UnaryExpression¿!¿3326¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿UnaryExpression
1987¿Identifier¿¿3326¿options¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
1988¿IfStatement¿¿3326¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿IfStatement
1989¿Identifier¿¿3326¿v196¿¿¿¿¿Identifier
1990¿ExpressionStatement¿¿3326¿¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿ExpressionStatement
1991¿AssignmentExpression¿=¿3326¿¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿AssignmentExpression
1992¿Identifier¿¿3326¿options¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
1993¿ObjectExpression¿¿3326¿¿¿¿¿¿ObjectExpression
1994¿BlockStatement¿¿3326¿¿¿¿¿¿BlockStatement
1995¿ExpressionStatement¿¿3326¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿ExpressionStatement
1996¿AssignmentExpression¿=¿3326¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿AssignmentExpression
1997¿MemberExpression¿¿3326¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿MemberExpression
1998¿ThisExpression¿¿3326¿¿¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿ThisExpression
1999¿Identifier¿¿3326¿pdfFilePath¿¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
2000¿Identifier¿¿3326¿pdfFilePath¿¿¿{"start":{"line":13,"column":21},"end":{"line":13,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
2001¿VariableDeclarator¿¿3326¿v197¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿VariableDeclarator
2002¿MemberExpression¿¿3326¿¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿MemberExpression
2003¿Identifier¿¿3326¿options¿¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
2004¿Identifier¿¿3326¿pdfFileBaseName¿¿¿{"start":{"line":15,"column":34},"end":{"line":15,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
2005¿VariableDeclarator¿¿3326¿v198¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿VariableDeclarator
2006¿CallExpression¿¿3326¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿CallExpression
2007¿MemberExpression¿¿3326¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿MemberExpression
2008¿ThisExpression¿¿3326¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿ThisExpression
2009¿Identifier¿¿3326¿setPdfFileBaseName¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
2010¿Identifier¿¿3326¿v197¿¿¿¿¿Identifier
2011¿ExpressionStatement¿¿3326¿¿¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿ExpressionStatement
2012¿Identifier¿¿3326¿v198¿¿¿¿¿Identifier
2013¿VariableDeclarator¿¿3326¿v199¿¿¿{"start":{"line":16,"column":25},"end":{"line":16,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿VariableDeclarator
2014¿MemberExpression¿¿3326¿¿¿¿{"start":{"line":16,"column":25},"end":{"line":16,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿MemberExpression
2015¿Identifier¿¿3326¿options¿¿¿{"start":{"line":16,"column":25},"end":{"line":16,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pdf-image_1.0.5/index.js"}¿¿Identifier
