Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1747¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":187,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Program
1748¿VariableDeclarator¿¿3084¿os¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1749¿CallExpression¿¿3084¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1750¿Identifier¿¿3084¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1751¿Literal¿string¿3084¿¿'os'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1752¿VariableDeclarator¿¿3084¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1753¿CallExpression¿¿3084¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1754¿Identifier¿¿3084¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1755¿Literal¿string¿3084¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1756¿VariableDeclarator¿¿3084¿p¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1757¿CallExpression¿¿3084¿¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1758¿Identifier¿¿3084¿require¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1759¿Literal¿string¿3084¿¿'path'¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1760¿VariableDeclarator¿¿3084¿v176¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1761¿CallExpression¿¿3084¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1762¿Identifier¿¿3084¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1763¿Literal¿string¿3084¿¿'child_process'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1764¿VariableDeclarator¿¿3084¿exec¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1765¿MemberExpression¿¿3084¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1766¿Identifier¿¿3084¿v176¿¿¿¿¿Identifier
1767¿Identifier¿¿3084¿exec¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1768¿VariableDeclarator¿¿3084¿v177¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1769¿CallExpression¿¿3084¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1770¿Identifier¿¿3084¿require¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1771¿Literal¿string¿3084¿¿'child_process'¿¿{"start":{"line":5,"column":20},"end":{"line":5,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1772¿VariableDeclarator¿¿3084¿spawn¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1773¿MemberExpression¿¿3084¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1774¿Identifier¿¿3084¿v177¿¿¿¿¿Identifier
1775¿Identifier¿¿3084¿spawn¿¿¿{"start":{"line":5,"column":37},"end":{"line":5,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1776¿VariableDeclarator¿¿3084¿helpers¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1777¿CallExpression¿¿3084¿¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1778¿Identifier¿¿3084¿require¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1779¿Literal¿string¿3084¿¿'./helpers'¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1780¿VariableDeclarator¿¿3084¿v178¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1781¿CallExpression¿¿3084¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿CallExpression
1782¿Identifier¿¿3084¿require¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Identifier
1783¿Literal¿string¿3084¿¿'util'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿Literal
1784¿VariableDeclarator¿¿3084¿format¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿VariableDeclarator
1785¿MemberExpression¿¿3084¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/pidusage_1.0.0/stats.js"}¿¿MemberExpression
1786¿Identifier¿¿3084¿v178¿¿¿¿¿Identifier
