Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4334¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":381,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Program
4335¿ExpressionStatement¿¿7600¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿ExpressionStatement
4336¿Literal¿string¿7600¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4337¿VariableDeclarator¿¿7600¿v415¿¿¿{"start":{"line":3,"column":45},"end":{"line":3,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4338¿ObjectExpression¿¿7600¿¿¿¿{"start":{"line":3,"column":45},"end":{"line":3,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿ObjectExpression
4339¿Property¿¿7600¿¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Property
4340¿Identifier¿¿7600¿value¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Identifier
4341¿Literal¿boolean¿7600¿¿true¿¿{"start":{"line":3,"column":54},"end":{"line":3,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿Literal
4342¿VariableDeclarator¿¿7600¿v416¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿VariableDeclarator
4343¿CallExpression¿¿7600¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿CallExpression
4344¿MemberExpression¿¿7600¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/thi.ng-egf_0.3.0/index.js"}¿¿MemberExpression
