Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3169¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":639,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Program
3170¿ExpressionStatement¿¿5409¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿ExpressionStatement
3171¿Literal¿string¿5409¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3172¿VariableDeclarator¿¿5409¿ChildProcess¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3173¿CallExpression¿¿5409¿¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿CallExpression
3174¿Identifier¿¿5409¿require¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3175¿Literal¿string¿5409¿¿'child_process'¿¿{"start":{"line":3,"column":29},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3176¿VariableDeclarator¿¿5409¿vBoxManageBinary¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3177¿VariableDeclarator¿¿5409¿escapeArg¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3178¿VariableDeclarator¿¿5409¿isOptionSafe¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3179¿VariableDeclarator¿¿5409¿v253¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3180¿MemberExpression¿¿5409¿¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿MemberExpression
3181¿Identifier¿¿5409¿process¿¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3182¿Identifier¿¿5409¿platform¿¿¿{"start":{"line":9,"column":24},"end":{"line":9,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3183¿VariableDeclarator¿¿5409¿v254¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3184¿CallExpression¿¿5409¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿CallExpression
3185¿MemberExpression¿¿5409¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿MemberExpression
3186¿Literal¿object¿5409¿¿/^win/¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Literal
3187¿Identifier¿¿5409¿test¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
3188¿Identifier¿¿5409¿v253¿¿¿¿¿Identifier
3189¿IfStatement¿¿5409¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":41,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿IfStatement
3190¿Identifier¿¿5409¿v254¿¿¿¿¿Identifier
3191¿VariableDeclarator¿¿5409¿v255¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿VariableDeclarator
3192¿MemberExpression¿¿5409¿¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿MemberExpression
3193¿Identifier¿¿5409¿process¿¿¿{"start":{"line":12,"column":28},"end":{"line":12,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/secbench/vboxmanage.js_1.0.6/index.js"}¿¿Identifier
