Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
244¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":22,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Program
245¿VariableDeclarator¿¿415¿v24¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿VariableDeclarator
246¿CallExpression¿¿415¿¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿CallExpression
247¿Identifier¿¿415¿require¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Identifier
248¿Literal¿string¿415¿¿'child_process'¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Literal
249¿VariableDeclarator¿¿415¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿VariableDeclarator
250¿MemberExpression¿¿415¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿MemberExpression
251¿Identifier¿¿415¿v24¿¿¿¿¿Identifier
252¿Identifier¿¿415¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Identifier
253¿VariableDeclarator¿¿415¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿VariableDeclarator
254¿CallExpression¿¿415¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿CallExpression
255¿Identifier¿¿415¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Identifier
256¿Literal¿string¿415¿¿'fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Literal
257¿VariableDeclarator¿¿415¿path¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿VariableDeclarator
258¿CallExpression¿¿415¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿CallExpression
259¿Identifier¿¿415¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Identifier
260¿Literal¿string¿415¿¿'path'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Literal
261¿VariableDeclarator¿¿415¿shq¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿VariableDeclarator
262¿FunctionExpression¿¿415¿anon¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿FunctionExpression
263¿Identifier¿¿0¿s¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Identifier
264¿VariableDeclarator¿¿417¿v25¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿VariableDeclarator
265¿CallExpression¿¿417¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿CallExpression
266¿Identifier¿¿417¿String¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Identifier
267¿Identifier¿¿417¿s¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Identifier
268¿VariableDeclarator¿¿417¿v26¿¿¿{"start":{"line":6,"column":53},"end":{"line":6,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿VariableDeclarator
269¿TemplateLiteral¿¿417¿¿¿¿{"start":{"line":6,"column":53},"end":{"line":6,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿TemplateLiteral
270¿VariableDeclarator¿¿417¿v27¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿VariableDeclarator
271¿CallExpression¿¿417¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿CallExpression
272¿MemberExpression¿¿417¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿MemberExpression
273¿Identifier¿¿417¿v25¿¿¿¿¿Identifier
274¿Identifier¿¿417¿replace¿¿¿{"start":{"line":6,"column":39},"end":{"line":6,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Identifier
275¿Literal¿object¿417¿¿/'/g¿¿{"start":{"line":6,"column":47},"end":{"line":6,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿Literal
276¿Identifier¿¿417¿v26¿¿¿¿¿Identifier
277¿VariableDeclarator¿¿417¿v28¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿VariableDeclarator
278¿TemplateLiteral¿¿417¿¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿TemplateLiteral
279¿Identifier¿¿417¿v27¿¿¿¿¿Identifier
280¿ReturnStatement¿¿417¿¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿ReturnStatement
281¿Identifier¿¿417¿v28¿¿¿¿¿Identifier
282¿BlockStatement¿¿417¿¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿BlockStatement
283¿VariableDeclarator¿¿415¿within¿¿¿{"start":{"line":8,"column":0},"end":{"line":12,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ffmpeg_transcode.js"}¿¿VariableDeclarator
