Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
222¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":10,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿Program
223¿ExpressionStatement¿¿385¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿ExpressionStatement
224¿Literal¿string¿385¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿Literal
225¿VariableDeclarator¿¿385¿isVerb¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿VariableDeclarator
226¿FunctionExpression¿¿385¿anon¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":75},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿FunctionExpression
227¿Identifier¿¿0¿v¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿Identifier
228¿VariableDeclarator¿¿387¿v28¿¿¿{"start":{"line":4,"column":27},"end":{"line":4,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿VariableDeclarator
229¿ArrayExpression¿¿387¿¿¿¿{"start":{"line":4,"column":27},"end":{"line":4,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿ArrayExpression
230¿Literal¿string¿387¿¿'get'¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿Literal
231¿Literal¿string¿387¿¿'describe'¿¿{"start":{"line":4,"column":34},"end":{"line":4,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿Literal
232¿Literal¿string¿387¿¿'logs'¿¿{"start":{"line":4,"column":45},"end":{"line":4,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿Literal
233¿VariableDeclarator¿¿387¿v29¿¿¿{"start":{"line":4,"column":62},"end":{"line":4,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿VariableDeclarator
234¿CallExpression¿¿387¿¿¿¿{"start":{"line":4,"column":62},"end":{"line":4,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿CallExpression
235¿Identifier¿¿387¿String¿¿¿{"start":{"line":4,"column":62},"end":{"line":4,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/kubectl_cli.js"}¿¿Identifier
