Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
200¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":11,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Program
201¿ExpressionStatement¿¿351¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿ExpressionStatement
202¿Literal¿string¿351¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Literal
203¿VariableDeclarator¿¿351¿path¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿VariableDeclarator
204¿CallExpression¿¿351¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿CallExpression
205¿Identifier¿¿351¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Identifier
206¿Literal¿string¿351¿¿'path'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Literal
207¿VariableDeclarator¿¿351¿fs¿¿¿{"start":{"line":4,"column":36},"end":{"line":4,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿VariableDeclarator
208¿CallExpression¿¿351¿¿¿¿{"start":{"line":4,"column":41},"end":{"line":4,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿CallExpression
209¿Identifier¿¿351¿require¿¿¿{"start":{"line":4,"column":41},"end":{"line":4,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Identifier
210¿Literal¿string¿351¿¿'fs'¿¿{"start":{"line":4,"column":49},"end":{"line":4,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Literal
211¿VariableDeclarator¿¿351¿underTmp¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":122},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿VariableDeclarator
212¿FunctionExpression¿¿351¿anon¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":122},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿FunctionExpression
213¿Identifier¿¿0¿p¿¿¿{"start":{"line":5,"column":18},"end":{"line":5,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Identifier
214¿VariableDeclarator¿¿353¿v24¿¿¿{"start":{"line":5,"column":61},"end":{"line":5,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿VariableDeclarator
215¿LogicalExpression¿||¿353¿¿¿¿{"start":{"line":5,"column":61},"end":{"line":5,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿LogicalExpression
216¿Identifier¿¿353¿p¿¿¿{"start":{"line":5,"column":61},"end":{"line":5,"column":62},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Identifier
217¿Literal¿string¿353¿¿''¿¿{"start":{"line":5,"column":64},"end":{"line":5,"column":66},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Literal
218¿VariableDeclarator¿¿353¿v25¿¿¿{"start":{"line":5,"column":54},"end":{"line":5,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿VariableDeclarator
219¿CallExpression¿¿353¿¿¿¿{"start":{"line":5,"column":54},"end":{"line":5,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿CallExpression
220¿Identifier¿¿353¿String¿¿¿{"start":{"line":5,"column":54},"end":{"line":5,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Identifier
221¿Identifier¿¿353¿v24¿¿¿¿¿Identifier
222¿VariableDeclarator¿¿353¿full¿¿¿{"start":{"line":5,"column":28},"end":{"line":5,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿VariableDeclarator
223¿CallExpression¿¿353¿¿¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":68},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿CallExpression
224¿MemberExpression¿¿353¿¿¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿MemberExpression
225¿Identifier¿¿353¿path¿¿¿{"start":{"line":5,"column":33},"end":{"line":5,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Identifier
226¿Identifier¿¿353¿resolve¿¿¿{"start":{"line":5,"column":38},"end":{"line":5,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Identifier
227¿Literal¿string¿353¿¿'/tmp'¿¿{"start":{"line":5,"column":46},"end":{"line":5,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Literal
228¿Identifier¿¿353¿v25¿¿¿¿¿Identifier
229¿VariableDeclarator¿¿353¿v26¿¿¿{"start":{"line":5,"column":100},"end":{"line":5,"column":108},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿VariableDeclarator
230¿MemberExpression¿¿353¿¿¿¿{"start":{"line":5,"column":100},"end":{"line":5,"column":108},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿MemberExpression
231¿Identifier¿¿353¿path¿¿¿{"start":{"line":5,"column":100},"end":{"line":5,"column":104},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Identifier
232¿Identifier¿¿353¿sep¿¿¿{"start":{"line":5,"column":105},"end":{"line":5,"column":108},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Identifier
233¿VariableDeclarator¿¿353¿v27¿¿¿{"start":{"line":5,"column":93},"end":{"line":5,"column":108},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿VariableDeclarator
234¿BinaryExpression¿+¿353¿¿¿¿{"start":{"line":5,"column":93},"end":{"line":5,"column":108},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿BinaryExpression
235¿Literal¿string¿353¿¿'/tmp'¿¿{"start":{"line":5,"column":93},"end":{"line":5,"column":99},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Literal
236¿Identifier¿¿353¿v26¿¿¿¿¿Identifier
237¿VariableDeclarator¿¿353¿v28¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":109},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿VariableDeclarator
238¿CallExpression¿¿353¿¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":109},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿CallExpression
239¿MemberExpression¿¿353¿¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":92},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿MemberExpression
240¿Identifier¿¿353¿full¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":81},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Identifier
241¿Identifier¿¿353¿startsWith¿¿¿{"start":{"line":5,"column":82},"end":{"line":5,"column":92},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿Identifier
242¿Identifier¿¿353¿v27¿¿¿¿¿Identifier
243¿VariableDeclarator¿¿353¿v29¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":119},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿VariableDeclarator
244¿IfStatement¿¿353¿¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":119},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿IfStatement
245¿Identifier¿¿353¿v28¿¿¿¿¿Identifier
246¿ExpressionStatement¿¿353¿¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":119},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿ExpressionStatement
247¿AssignmentExpression¿=¿353¿¿¿¿{"start":{"line":5,"column":77},"end":{"line":5,"column":119},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/pdftotext_cli.js"}¿¿AssignmentExpression
248¿Identifier¿¿353¿v29¿¿¿¿¿Identifier
