Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
239¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Program
240¿VariableDeclarator¿¿407¿v27¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
241¿CallExpression¿¿407¿¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿CallExpression
242¿Identifier¿¿407¿require¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
243¿Literal¿string¿407¿¿'child_process'¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Literal
244¿VariableDeclarator¿¿407¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
245¿MemberExpression¿¿407¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿MemberExpression
246¿Identifier¿¿407¿v27¿¿¿¿¿Identifier
247¿Identifier¿¿407¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
248¿VariableDeclarator¿¿407¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
249¿CallExpression¿¿407¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿CallExpression
250¿Identifier¿¿407¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
251¿Literal¿string¿407¿¿'fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Literal
252¿VariableDeclarator¿¿407¿path¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
253¿CallExpression¿¿407¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿CallExpression
254¿Identifier¿¿407¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
255¿Literal¿string¿407¿¿'path'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Literal
256¿VariableDeclarator¿¿407¿shq¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
257¿FunctionExpression¿¿407¿anon¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿FunctionExpression
258¿Identifier¿¿0¿s¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
259¿VariableDeclarator¿¿409¿v28¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
260¿CallExpression¿¿409¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿CallExpression
261¿Identifier¿¿409¿String¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
262¿Identifier¿¿409¿s¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
263¿VariableDeclarator¿¿409¿v29¿¿¿{"start":{"line":6,"column":53},"end":{"line":6,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
264¿TemplateLiteral¿¿409¿¿¿¿{"start":{"line":6,"column":53},"end":{"line":6,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿TemplateLiteral
265¿VariableDeclarator¿¿409¿v30¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
266¿CallExpression¿¿409¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿CallExpression
267¿MemberExpression¿¿409¿¿¿¿{"start":{"line":6,"column":29},"end":{"line":6,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿MemberExpression
268¿Identifier¿¿409¿v28¿¿¿¿¿Identifier
269¿Identifier¿¿409¿replace¿¿¿{"start":{"line":6,"column":39},"end":{"line":6,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
270¿Literal¿object¿409¿¿/'/g¿¿{"start":{"line":6,"column":47},"end":{"line":6,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Literal
271¿Identifier¿¿409¿v29¿¿¿¿¿Identifier
272¿VariableDeclarator¿¿409¿v31¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
273¿TemplateLiteral¿¿409¿¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿TemplateLiteral
274¿Identifier¿¿409¿v30¿¿¿¿¿Identifier
275¿ReturnStatement¿¿409¿¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":65},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿ReturnStatement
276¿Identifier¿¿409¿v31¿¿¿¿¿Identifier
277¿BlockStatement¿¿409¿¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":67},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿BlockStatement
278¿VariableDeclarator¿¿407¿v32¿¿¿{"start":{"line":8,"column":30},"end":{"line":8,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
279¿ArrayExpression¿¿407¿¿¿¿{"start":{"line":8,"column":30},"end":{"line":8,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿ArrayExpression
280¿Literal¿string¿407¿¿'web1'¿¿{"start":{"line":8,"column":31},"end":{"line":8,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Literal
281¿Literal¿string¿407¿¿'web2'¿¿{"start":{"line":8,"column":39},"end":{"line":8,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Literal
282¿Literal¿string¿407¿¿'backup'¿¿{"start":{"line":8,"column":47},"end":{"line":8,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Literal
283¿VariableDeclarator¿¿407¿ALLOWED_HOSTS¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
284¿NewExpression¿¿407¿¿¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":57},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿NewExpression
285¿Identifier¿¿407¿Set¿¿¿{"start":{"line":8,"column":26},"end":{"line":8,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
286¿Identifier¿¿407¿v32¿¿¿¿¿Identifier
287¿VariableDeclarator¿¿407¿rsyncUpload¿¿¿{"start":{"line":9,"column":0},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
288¿FunctionExpression¿¿407¿anon¿¿¿{"start":{"line":9,"column":0},"end":{"line":17,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿FunctionExpression
289¿Identifier¿¿0¿localDir¿¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
290¿Identifier¿¿0¿hostAlias¿¿¿{"start":{"line":9,"column":31},"end":{"line":9,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
291¿Identifier¿¿0¿remoteDir¿¿¿{"start":{"line":9,"column":42},"end":{"line":9,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
292¿VariableDeclarator¿¿411¿v33¿¿¿{"start":{"line":10,"column":7},"end":{"line":10,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
293¿CallExpression¿¿411¿¿¿¿{"start":{"line":10,"column":7},"end":{"line":10,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿CallExpression
294¿MemberExpression¿¿411¿¿¿¿{"start":{"line":10,"column":7},"end":{"line":10,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿MemberExpression
295¿Identifier¿¿411¿ALLOWED_HOSTS¿¿¿{"start":{"line":10,"column":7},"end":{"line":10,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
296¿Identifier¿¿411¿has¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
297¿Identifier¿¿411¿hostAlias¿¿¿{"start":{"line":10,"column":25},"end":{"line":10,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
298¿VariableDeclarator¿¿411¿v34¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
299¿UnaryExpression¿!¿411¿¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿UnaryExpression
300¿Identifier¿¿411¿v33¿¿¿¿¿Identifier
301¿IfStatement¿¿411¿¿¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿IfStatement
302¿Identifier¿¿411¿v34¿¿¿¿¿Identifier
303¿VariableDeclarator¿¿411¿v35¿¿¿{"start":{"line":10,"column":43},"end":{"line":10,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
304¿NewExpression¿¿411¿¿¿¿{"start":{"line":10,"column":43},"end":{"line":10,"column":72},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿NewExpression
305¿Identifier¿¿411¿Error¿¿¿{"start":{"line":10,"column":47},"end":{"line":10,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
306¿Literal¿string¿411¿¿'Host not allowed'¿¿{"start":{"line":10,"column":53},"end":{"line":10,"column":71},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Literal
307¿ThrowStatement¿¿411¿¿¿¿{"start":{"line":10,"column":37},"end":{"line":10,"column":73},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿ThrowStatement
308¿Identifier¿¿411¿v35¿¿¿¿¿Identifier
309¿BlockStatement¿¿411¿¿¿¿¿¿BlockStatement
310¿VariableDeclarator¿¿411¿ld¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
311¿CallExpression¿¿411¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿CallExpression
312¿MemberExpression¿¿411¿¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿MemberExpression
313¿Identifier¿¿411¿path¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
314¿Identifier¿¿411¿resolve¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
315¿Identifier¿¿411¿localDir¿¿¿{"start":{"line":11,"column":26},"end":{"line":11,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
316¿VariableDeclarator¿¿411¿v36¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
317¿CallExpression¿¿411¿¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿CallExpression
318¿MemberExpression¿¿411¿¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿MemberExpression
319¿Identifier¿¿411¿fs¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
320¿Identifier¿¿411¿existsSync¿¿¿{"start":{"line":12,"column":10},"end":{"line":12,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
321¿Identifier¿¿411¿ld¿¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
322¿VariableDeclarator¿¿411¿v37¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
323¿UnaryExpression¿!¿411¿¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿UnaryExpression
324¿Identifier¿¿411¿v36¿¿¿¿¿Identifier
325¿VariableDeclarator¿¿411¿v38¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
326¿CallExpression¿¿411¿¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿CallExpression
327¿MemberExpression¿¿411¿¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿MemberExpression
328¿Identifier¿¿411¿fs¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
329¿Identifier¿¿411¿statSync¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
330¿Identifier¿¿411¿ld¿¿¿{"start":{"line":12,"column":41},"end":{"line":12,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿Identifier
331¿VariableDeclarator¿¿411¿v39¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿VariableDeclarator
332¿CallExpression¿¿411¿¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿CallExpression
333¿MemberExpression¿¿411¿¿¿¿{"start":{"line":12,"column":29},"end":{"line":12,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/rsync_push.js"}¿¿MemberExpression
