Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
445¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":35,"column":76},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ssh_proxy_http.js"}¿¿Program
446¿ExpressionStatement¿¿762¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ssh_proxy_http.js"}¿¿ExpressionStatement
447¿Literal¿string¿762¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ssh_proxy_http.js"}¿¿Literal
448¿VariableDeclarator¿¿762¿http¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ssh_proxy_http.js"}¿¿VariableDeclarator
449¿CallExpression¿¿762¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ssh_proxy_http.js"}¿¿CallExpression
450¿Identifier¿¿762¿require¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ssh_proxy_http.js"}¿¿Identifier
451¿Literal¿string¿762¿¿'http'¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ssh_proxy_http.js"}¿¿Literal
452¿VariableDeclarator¿¿762¿url¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ssh_proxy_http.js"}¿¿VariableDeclarator
453¿CallExpression¿¿762¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ssh_proxy_http.js"}¿¿CallExpression
454¿Identifier¿¿762¿require¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/ssh_proxy_http.js"}¿¿Identifier
