Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
193¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":18,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/targz_extract.js"}¿¿Program
194¿VariableDeclarator¿¿327¿v19¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/targz_extract.js"}¿¿VariableDeclarator
195¿CallExpression¿¿327¿¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/targz_extract.js"}¿¿CallExpression
196¿Identifier¿¿327¿require¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/targz_extract.js"}¿¿Identifier
197¿Literal¿string¿327¿¿'child_process'¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/targz_extract.js"}¿¿Literal
198¿VariableDeclarator¿¿327¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/targz_extract.js"}¿¿VariableDeclarator
199¿MemberExpression¿¿327¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/targz_extract.js"}¿¿MemberExpression
200¿Identifier¿¿327¿v19¿¿¿¿¿Identifier
201¿Identifier¿¿327¿execSync¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/targz_extract.js"}¿¿Identifier
202¿VariableDeclarator¿¿327¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/synthetic/targz_extract.js"}¿¿VariableDeclarator
