Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
385¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":60,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Program
386¿VariableDeclarator¿¿671¿exec¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿VariableDeclarator
387¿CallExpression¿¿671¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿CallExpression
388¿Identifier¿¿671¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Identifier
389¿Literal¿string¿671¿¿'meta-exec'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Literal
390¿VariableDeclarator¿¿671¿fs¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿VariableDeclarator
391¿CallExpression¿¿671¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿CallExpression
392¿Identifier¿¿671¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Identifier
393¿Literal¿string¿671¿¿'fs'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Literal
394¿VariableDeclarator¿¿671¿v35¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿VariableDeclarator
395¿CallExpression¿¿671¿¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿CallExpression
396¿Identifier¿¿671¿require¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Identifier
397¿Literal¿string¿671¿¿'debug'¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Literal
398¿VariableDeclarator¿¿671¿debug¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿VariableDeclarator
399¿CallExpression¿¿671¿¿¿¿{"start":{"line":5,"column":14},"end":{"line":5,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿CallExpression
400¿Identifier¿¿671¿v35¿¿¿¿¿Identifier
401¿Literal¿string¿671¿¿'meta-git-clone'¿¿{"start":{"line":5,"column":31},"end":{"line":5,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Literal
402¿VariableDeclarator¿¿671¿getMetaFile¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿VariableDeclarator
403¿CallExpression¿¿671¿¿¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿CallExpression
404¿Identifier¿¿671¿require¿¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Identifier
405¿Literal¿string¿671¿¿'get-meta-file'¿¿{"start":{"line":6,"column":28},"end":{"line":6,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Literal
406¿VariableDeclarator¿¿671¿path¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿VariableDeclarator
407¿CallExpression¿¿671¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿CallExpression
408¿Identifier¿¿671¿require¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Identifier
409¿Literal¿string¿671¿¿'path'¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Literal
410¿VariableDeclarator¿¿671¿program¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿VariableDeclarator
411¿CallExpression¿¿671¿¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿CallExpression
412¿Identifier¿¿671¿require¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Identifier
413¿Literal¿string¿671¿¿'commander'¿¿{"start":{"line":8,"column":24},"end":{"line":8,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Literal
414¿VariableDeclarator¿¿671¿util¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿VariableDeclarator
415¿CallExpression¿¿671¿¿¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿CallExpression
416¿Identifier¿¿671¿require¿¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Identifier
417¿Literal¿string¿671¿¿'util'¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Literal
418¿VariableDeclarator¿¿671¿v36¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿VariableDeclarator
419¿MemberExpression¿¿671¿¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿MemberExpression
420¿Identifier¿¿671¿process¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Identifier
421¿Identifier¿¿671¿argv¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Identifier
422¿VariableDeclarator¿¿671¿v37¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿VariableDeclarator
423¿MemberExpression¿computed¿671¿¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿MemberExpression
424¿Identifier¿¿671¿v36¿¿¿¿¿Identifier
425¿Literal¿number¿671¿¿2¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿Literal
426¿VariableDeclarator¿¿671¿v38¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿VariableDeclarator
427¿UnaryExpression¿!¿671¿¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿UnaryExpression
428¿Identifier¿¿671¿v37¿¿¿¿¿Identifier
429¿VariableDeclarator¿¿671¿v39¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿VariableDeclarator
430¿MemberExpression¿¿671¿¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/meta-git_1.1.3/metagit-clone.js"}¿¿MemberExpression
