Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
582¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":71,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿Program
583¿VariableDeclarator¿¿978¿contra¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
584¿CallExpression¿¿978¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿CallExpression
585¿Identifier¿¿978¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿Identifier
586¿Literal¿string¿978¿¿'contra'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿Literal
587¿VariableDeclarator¿¿978¿path¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
588¿CallExpression¿¿978¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿CallExpression
589¿Identifier¿¿978¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿Identifier
590¿Literal¿string¿978¿¿'path'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿Literal
591¿VariableDeclarator¿¿978¿fUtils¿¿¿{"start":{"line":3,"column":2},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
592¿CallExpression¿¿978¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿CallExpression
593¿Identifier¿¿978¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿Identifier
594¿Literal¿string¿978¿¿'./files'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿Literal
595¿VariableDeclarator¿¿978¿cp¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
596¿CallExpression¿¿978¿¿¿¿{"start":{"line":4,"column":7},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿CallExpression
597¿Identifier¿¿978¿require¿¿¿{"start":{"line":4,"column":7},"end":{"line":4,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿Identifier
598¿Literal¿string¿978¿¿'child_process'¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿Literal
599¿VariableDeclarator¿¿978¿gitApp¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
600¿Literal¿string¿978¿¿'git'¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿Literal
601¿VariableDeclarator¿¿978¿v57¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
602¿MemberExpression¿¿978¿¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿MemberExpression
603¿Identifier¿¿978¿process¿¿¿{"start":{"line":7,"column":20},"end":{"line":7,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿Identifier
604¿Identifier¿¿978¿env¿¿¿{"start":{"line":7,"column":28},"end":{"line":7,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿Identifier
605¿VariableDeclarator¿¿978¿gitExtra¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿VariableDeclarator
606¿ObjectExpression¿¿978¿¿¿¿¿¿ObjectExpression
607¿ExpressionStatement¿¿978¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿ExpressionStatement
608¿AssignmentExpression¿=¿978¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/mversion/git.js"}¿¿AssignmentExpression
