Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
455¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":48,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿Program
456¿ExpressionStatement¿¿753¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿ExpressionStatement
457¿Literal¿string¿753¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿Literal
458¿VariableDeclarator¿¿753¿v35¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿VariableDeclarator
459¿CallExpression¿¿753¿¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿CallExpression
460¿Identifier¿¿753¿require¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿Identifier
461¿Literal¿string¿753¿¿'child_process'¿¿{"start":{"line":3,"column":29},"end":{"line":3,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿Literal
462¿VariableDeclarator¿¿753¿execSync¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿VariableDeclarator
463¿MemberExpression¿¿753¿¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿MemberExpression
464¿Identifier¿¿753¿v35¿¿¿¿¿Identifier
465¿Identifier¿¿753¿execSync¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿Identifier
466¿VariableDeclarator¿¿753¿shellEscape¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿VariableDeclarator
467¿CallExpression¿¿753¿¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿CallExpression
468¿Identifier¿¿753¿require¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿Identifier
469¿Literal¿string¿753¿¿'shell-escape'¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿Literal
470¿VariableDeclarator¿exported¿753¿GitCmdClient¿¿¿{"start":{"line":6,"column":0},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿VariableDeclarator
471¿FunctionExpression¿¿753¿GitCmdClient¿¿¿{"start":{"line":7,"column":13},"end":{"line":9,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿FunctionExpression
472¿VariableDeclarator¿¿755¿v36¿¿¿{"start":{"line":8,"column":25},"end":{"line":8,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿VariableDeclarator
473¿ObjectExpression¿¿755¿¿¿¿¿¿ObjectExpression
474¿ExpressionStatement¿¿755¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿ExpressionStatement
475¿AssignmentExpression¿=¿755¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿AssignmentExpression
476¿MemberExpression¿¿755¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿MemberExpression
477¿ThisExpression¿¿755¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":8},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿ThisExpression
478¿Identifier¿¿755¿_revParseHash¿¿¿{"start":{"line":8,"column":9},"end":{"line":8,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿Identifier
479¿Identifier¿¿755¿v36¿¿¿¿¿Identifier
480¿BlockStatement¿¿755¿¿¿¿{"start":{"line":7,"column":16},"end":{"line":9,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿BlockStatement
481¿VariableDeclarator¿¿753¿currentName¿¿¿{"start":{"line":6,"column":0},"end":{"line":46,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿VariableDeclarator
482¿FunctionExpression¿¿753¿currentName¿¿¿{"start":{"line":11,"column":13},"end":{"line":13,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿FunctionExpression
483¿VariableDeclarator¿¿757¿v37¿¿¿{"start":{"line":12,"column":60},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿VariableDeclarator
484¿ObjectExpression¿¿757¿¿¿¿{"start":{"line":12,"column":60},"end":{"line":12,"column":80},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/reg-keygen-git-hash-plugin/git-cmd-client.js"}¿¿ObjectExpression
