Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1698¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":199,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Program
1699¿VariableDeclarator¿¿2984¿json¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1700¿VariableDeclarator¿¿2984¿v171¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1701¿UnaryExpression¿typeof¿2984¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿UnaryExpression
1702¿Identifier¿¿2984¿JSON¿¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1703¿VariableDeclarator¿¿2984¿v172¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1704¿BinaryExpression¿!==¿2984¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿BinaryExpression
1705¿Identifier¿¿2984¿v171¿¿¿¿¿Identifier
1706¿Identifier¿¿2984¿undefined¿¿¿{"start":{"line":1,"column":27},"end":{"line":1,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1707¿VariableDeclarator¿¿2984¿v173¿¿¿{"start":{"line":1,"column":46},"end":{"line":1,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1708¿CallExpression¿¿2984¿¿¿¿{"start":{"line":1,"column":46},"end":{"line":1,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿CallExpression
1709¿Identifier¿¿2984¿require¿¿¿{"start":{"line":1,"column":46},"end":{"line":1,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1710¿Literal¿string¿2984¿¿'jsonify'¿¿{"start":{"line":1,"column":54},"end":{"line":1,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Literal
1711¿IfStatement¿¿2984¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿IfStatement
1712¿Identifier¿¿2984¿v172¿¿¿¿¿Identifier
1713¿ExpressionStatement¿¿2984¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿ExpressionStatement
1714¿AssignmentExpression¿=¿2984¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿AssignmentExpression
1715¿Identifier¿¿2984¿json¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1716¿Identifier¿¿2984¿JSON¿¿¿{"start":{"line":1,"column":39},"end":{"line":1,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1717¿BlockStatement¿¿2984¿¿¿¿¿¿BlockStatement
1718¿ExpressionStatement¿¿2984¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿ExpressionStatement
1719¿AssignmentExpression¿=¿2984¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿AssignmentExpression
1720¿Identifier¿¿2984¿json¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1721¿Identifier¿¿2984¿v173¿¿¿¿¿Identifier
1722¿BlockStatement¿¿2984¿¿¿¿¿¿BlockStatement
1723¿VariableDeclarator¿¿2984¿map¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1724¿CallExpression¿¿2984¿¿¿¿{"start":{"line":2,"column":10},"end":{"line":2,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿CallExpression
1725¿Identifier¿¿2984¿require¿¿¿{"start":{"line":2,"column":10},"end":{"line":2,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1726¿Literal¿string¿2984¿¿'array-map'¿¿{"start":{"line":2,"column":18},"end":{"line":2,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Literal
1727¿VariableDeclarator¿¿2984¿filter¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1728¿CallExpression¿¿2984¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿CallExpression
1729¿Identifier¿¿2984¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1730¿Literal¿string¿2984¿¿'array-filter'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Literal
1731¿VariableDeclarator¿¿2984¿reduce¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1732¿CallExpression¿¿2984¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿CallExpression
1733¿Identifier¿¿2984¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1734¿Literal¿string¿2984¿¿'array-reduce'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Literal
1735¿VariableDeclarator¿exported¿2984¿v195¿¿¿{"start":{"line":6,"column":0},"end":{"line":21,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1736¿FunctionExpression¿¿2984¿anon¿¿¿{"start":{"line":6,"column":16},"end":{"line":21,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿FunctionExpression
1737¿Identifier¿¿0¿xs¿¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1738¿VariableDeclarator¿¿2987¿v192¿¿¿{"start":{"line":7,"column":19},"end":{"line":20,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1739¿FunctionExpression¿¿2987¿anon¿¿¿{"start":{"line":7,"column":19},"end":{"line":20,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿FunctionExpression
1740¿Identifier¿¿0¿s¿¿¿{"start":{"line":7,"column":29},"end":{"line":7,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1741¿VariableDeclarator¿¿2989¿v174¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1742¿UnaryExpression¿typeof¿2989¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿UnaryExpression
1743¿Identifier¿¿2989¿s¿¿¿{"start":{"line":8,"column":24},"end":{"line":8,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1744¿VariableDeclarator¿¿2989¿v175¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1745¿BinaryExpression¿===¿2989¿¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿BinaryExpression
1746¿Identifier¿¿2989¿v174¿¿¿¿¿Identifier
1747¿Literal¿string¿2989¿¿'object'¿¿{"start":{"line":8,"column":30},"end":{"line":8,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Literal
1748¿VariableDeclarator¿¿2989¿v176¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1749¿LogicalExpression¿&&¿2989¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿LogicalExpression
1750¿Identifier¿¿2989¿s¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1751¿Identifier¿¿2989¿v175¿¿¿¿¿Identifier
1752¿IfStatement¿¿2989¿¿¿¿{"start":{"line":8,"column":8},"end":{"line":19,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿IfStatement
1753¿Identifier¿¿2989¿v176¿¿¿¿¿Identifier
1754¿VariableDeclarator¿¿2989¿v177¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1755¿MemberExpression¿¿2989¿¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿MemberExpression
1756¿Identifier¿¿2989¿s¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1757¿Identifier¿¿2989¿op¿¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1758¿VariableDeclarator¿¿2989¿v178¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1759¿CallExpression¿¿2989¿¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿CallExpression
1760¿MemberExpression¿¿2989¿¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿MemberExpression
1761¿Identifier¿¿2989¿v177¿¿¿¿¿Identifier
1762¿Identifier¿¿2989¿replace¿¿¿{"start":{"line":9,"column":24},"end":{"line":9,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
1763¿Literal¿object¿2989¿¿/(.)/g¿¿{"start":{"line":9,"column":32},"end":{"line":9,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Literal
1764¿Literal¿string¿2989¿¿'\\$1'¿¿{"start":{"line":9,"column":40},"end":{"line":9,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Literal
1765¿ReturnStatement¿¿2989¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿ReturnStatement
1766¿Identifier¿¿2989¿v178¿¿¿¿¿Identifier
1767¿BlockStatement¿¿2989¿¿¿¿{"start":{"line":8,"column":40},"end":{"line":10,"column":9},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿BlockStatement
1768¿VariableDeclarator¿¿2989¿v179¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿VariableDeclarator
1769¿CallExpression¿¿2989¿¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿CallExpression
1770¿MemberExpression¿¿2989¿¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿MemberExpression
1771¿Literal¿object¿2989¿¿/['\s]/¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Literal
1772¿Identifier¿¿2989¿test¿¿¿{"start":{"line":11,"column":25},"end":{"line":11,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/command-injection/vulcan/shell-quote/index_1.6.1.js"}¿¿Identifier
