Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
353¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":57,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Program
354¿VariableDeclarator¿¿604¿multer¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿VariableDeclarator
355¿CallExpression¿¿604¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿CallExpression
356¿Identifier¿¿604¿require¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
357¿Literal¿string¿604¿¿'multer'¿¿{"start":{"line":1,"column":23},"end":{"line":1,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Literal
358¿VariableDeclarator¿¿604¿path¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿VariableDeclarator
359¿CallExpression¿¿604¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿CallExpression
360¿Identifier¿¿604¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
361¿Literal¿string¿604¿¿'path'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Literal
362¿VariableDeclarator¿¿604¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿VariableDeclarator
363¿CallExpression¿¿604¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿CallExpression
364¿Identifier¿¿604¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
365¿Literal¿string¿604¿¿'fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Literal
366¿VariableDeclarator¿¿604¿uploadDir¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿VariableDeclarator
367¿CallExpression¿¿604¿¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿CallExpression
368¿MemberExpression¿¿604¿¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿MemberExpression
369¿Identifier¿¿604¿path¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
370¿Identifier¿¿604¿join¿¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
371¿Identifier¿¿604¿__dirname¿¿¿{"start":{"line":6,"column":28},"end":{"line":6,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
372¿Literal¿string¿604¿¿'../uploads/cvs'¿¿{"start":{"line":6,"column":39},"end":{"line":6,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Literal
373¿VariableDeclarator¿¿604¿v30¿¿¿{"start":{"line":7,"column":5},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿VariableDeclarator
374¿CallExpression¿¿604¿¿¿¿{"start":{"line":7,"column":5},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿CallExpression
375¿MemberExpression¿¿604¿¿¿¿{"start":{"line":7,"column":5},"end":{"line":7,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿MemberExpression
376¿Identifier¿¿604¿fs¿¿¿{"start":{"line":7,"column":5},"end":{"line":7,"column":7},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
377¿Identifier¿¿604¿existsSync¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
378¿Identifier¿¿604¿uploadDir¿¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
379¿VariableDeclarator¿¿604¿v31¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿VariableDeclarator
380¿UnaryExpression¿!¿604¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿UnaryExpression
381¿Identifier¿¿604¿v30¿¿¿¿¿Identifier
382¿IfStatement¿¿604¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":9,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿IfStatement
383¿Identifier¿¿604¿v31¿¿¿¿¿Identifier
384¿VariableDeclarator¿¿604¿v32¿¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿VariableDeclarator
385¿ObjectExpression¿¿604¿¿¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿ObjectExpression
386¿Property¿¿604¿¿¿¿{"start":{"line":8,"column":30},"end":{"line":8,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Property
387¿Identifier¿¿604¿recursive¿¿¿{"start":{"line":8,"column":30},"end":{"line":8,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
388¿Literal¿boolean¿604¿¿true¿¿{"start":{"line":8,"column":41},"end":{"line":8,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Literal
389¿VariableDeclarator¿¿604¿v33¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿VariableDeclarator
390¿CallExpression¿¿604¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿CallExpression
391¿MemberExpression¿¿604¿¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿MemberExpression
392¿Identifier¿¿604¿fs¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
393¿Identifier¿¿604¿mkdirSync¿¿¿{"start":{"line":8,"column":7},"end":{"line":8,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
394¿Identifier¿¿604¿uploadDir¿¿¿{"start":{"line":8,"column":17},"end":{"line":8,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/Department-Management-System/multerConfig.js"}¿¿Identifier
