Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1594¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":210,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿Program
1595¿VariableDeclarator¿¿2792¿fs¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿VariableDeclarator
1596¿CallExpression¿¿2792¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿CallExpression
1597¿Identifier¿¿2792¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿Identifier
1598¿Literal¿string¿2792¿¿'fs'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿Literal
1599¿VariableDeclarator¿¿2792¿path¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿VariableDeclarator
1600¿CallExpression¿¿2792¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿CallExpression
1601¿Identifier¿¿2792¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿Identifier
1602¿Literal¿string¿2792¿¿'path'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿Literal
1603¿VariableDeclarator¿¿2792¿sharp¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿VariableDeclarator
1604¿CallExpression¿¿2792¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿CallExpression
1605¿Identifier¿¿2792¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿Identifier
1606¿Literal¿string¿2792¿¿'sharp'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿Literal
1607¿VariableDeclarator¿¿2792¿rootDir¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿VariableDeclarator
1608¿TemplateLiteral¿¿2792¿¿¿¿{"start":{"line":5,"column":16},"end":{"line":5,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿TemplateLiteral
1609¿Identifier¿¿2792¿__dirname¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿Identifier
1610¿VariableDeclarator¿¿2792¿rootDirMissions¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿VariableDeclarator
1611¿TemplateLiteral¿¿2792¿¿¿¿{"start":{"line":6,"column":24},"end":{"line":6,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿TemplateLiteral
1612¿Identifier¿¿2792¿rootDir¿¿¿{"start":{"line":6,"column":27},"end":{"line":6,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿Identifier
1613¿VariableDeclarator¿¿2792¿dirStore¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿VariableDeclarator
1614¿ObjectExpression¿¿2792¿¿¿¿¿¿ObjectExpression
1615¿VariableDeclarator¿¿2792¿DIR_STORE_MAX_AGE¿¿¿{"start":{"line":9,"column":6},"end":{"line":13,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/MMGIS/middleware.js"}¿¿VariableDeclarator
