Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
586¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":78,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Program
587¿VariableDeclarator¿¿1034¿Viz¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
588¿CallExpression¿¿1034¿¿¿¿{"start":{"line":1,"column":12},"end":{"line":1,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
589¿Identifier¿¿1034¿require¿¿¿{"start":{"line":1,"column":12},"end":{"line":1,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
590¿Literal¿string¿1034¿¿'viz.js'¿¿{"start":{"line":1,"column":20},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Literal
591¿VariableDeclarator¿¿1034¿v56¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
592¿CallExpression¿¿1034¿¿¿¿{"start":{"line":2,"column":27},"end":{"line":2,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿CallExpression
593¿Identifier¿¿1034¿require¿¿¿{"start":{"line":2,"column":27},"end":{"line":2,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Identifier
594¿Literal¿string¿1034¿¿'viz.js/full.render.js'¿¿{"start":{"line":2,"column":35},"end":{"line":2,"column":58},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿Literal
595¿VariableDeclarator¿¿1034¿Module¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿VariableDeclarator
596¿MemberExpression¿¿1034¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/app-state-diagram/fixed_dot.js"}¿¿MemberExpression
