Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
635¿Program¿¿-1¿¿¿¿{"start":{"line":18,"column":0},"end":{"line":131,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Program
636¿VariableDeclarator¿¿1098¿v51¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
637¿CallExpression¿¿1098¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
638¿Identifier¿¿1098¿require¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
639¿Literal¿string¿1098¿¿'debug'¿¿{"start":{"line":18,"column":20},"end":{"line":18,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
640¿VariableDeclarator¿¿1098¿debug¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
641¿CallExpression¿¿1098¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
642¿Identifier¿¿1098¿v51¿¿¿¿¿Identifier
643¿Literal¿string¿1098¿¿'lib/help'¿¿{"start":{"line":18,"column":29},"end":{"line":18,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
644¿VariableDeclarator¿¿1098¿path¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
645¿CallExpression¿¿1098¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
646¿Identifier¿¿1098¿require¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
647¿Literal¿string¿1098¿¿'path'¿¿{"start":{"line":19,"column":19},"end":{"line":19,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
648¿VariableDeclarator¿¿1098¿fs¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
649¿CallExpression¿¿1098¿¿¿¿{"start":{"line":20,"column":9},"end":{"line":20,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
650¿Identifier¿¿1098¿require¿¿¿{"start":{"line":20,"column":9},"end":{"line":20,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
651¿Literal¿string¿1098¿¿'fs'¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
652¿VariableDeclarator¿¿1098¿marked¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
653¿CallExpression¿¿1098¿¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿CallExpression
654¿Identifier¿¿1098¿require¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Identifier
655¿Literal¿string¿1098¿¿'marked'¿¿{"start":{"line":21,"column":21},"end":{"line":21,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿Literal
656¿VariableDeclarator¿¿1098¿help¿¿¿{"start":{"line":23,"column":0},"end":{"line":129,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/companion/help.js"}¿¿VariableDeclarator
