Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
263¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":41,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿Program
264¿VariableDeclarator¿¿450¿multer¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿VariableDeclarator
265¿CallExpression¿¿450¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿CallExpression
266¿Identifier¿¿450¿require¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿Identifier
267¿Literal¿string¿450¿¿'multer'¿¿{"start":{"line":1,"column":23},"end":{"line":1,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿Literal
268¿VariableDeclarator¿¿450¿path¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿VariableDeclarator
269¿CallExpression¿¿450¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿CallExpression
270¿Identifier¿¿450¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿Identifier
271¿Literal¿string¿450¿¿'path'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿Literal
272¿VariableDeclarator¿¿450¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿VariableDeclarator
273¿CallExpression¿¿450¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿CallExpression
274¿Identifier¿¿450¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿Identifier
275¿Literal¿string¿450¿¿'fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿Literal
276¿VariableDeclarator¿¿450¿uploadDir¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/ecommerce-backend/fileupload.js"}¿¿VariableDeclarator
