Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4329¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":1142,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Program
4330¿ExpressionStatement¿¿7601¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿ExpressionStatement
4331¿Literal¿string¿7601¿¿'use strict'¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4332¿VariableDeclarator¿¿7601¿v365¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4333¿CallExpression¿¿7601¿¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4334¿Identifier¿¿7601¿require¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4335¿Literal¿string¿7601¿¿'safe-buffer'¿¿{"start":{"line":15,"column":21},"end":{"line":15,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4336¿VariableDeclarator¿¿7601¿Buffer¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4337¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":15,"column":13},"end":{"line":15,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
4338¿Identifier¿¿7601¿v365¿¿¿¿¿Identifier
4339¿Identifier¿¿7601¿Buffer¿¿¿{"start":{"line":15,"column":36},"end":{"line":15,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4340¿VariableDeclarator¿¿7601¿contentDisposition¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4341¿CallExpression¿¿7601¿¿¿¿{"start":{"line":16,"column":25},"end":{"line":16,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4342¿Identifier¿¿7601¿require¿¿¿{"start":{"line":16,"column":25},"end":{"line":16,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4343¿Literal¿string¿7601¿¿'content-disposition'¿¿{"start":{"line":16,"column":33},"end":{"line":16,"column":54},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4344¿VariableDeclarator¿¿7601¿v366¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4345¿CallExpression¿¿7601¿¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4346¿Identifier¿¿7601¿require¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4347¿Literal¿string¿7601¿¿'depd'¿¿{"start":{"line":17,"column":24},"end":{"line":17,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4348¿VariableDeclarator¿¿7601¿deprecate¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4349¿CallExpression¿¿7601¿¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4350¿Identifier¿¿7601¿v366¿¿¿¿¿Identifier
4351¿Literal¿string¿7601¿¿'express'¿¿{"start":{"line":17,"column":32},"end":{"line":17,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4352¿VariableDeclarator¿¿7601¿encodeUrl¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4353¿CallExpression¿¿7601¿¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4354¿Identifier¿¿7601¿require¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4355¿Literal¿string¿7601¿¿'encodeurl'¿¿{"start":{"line":18,"column":24},"end":{"line":18,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4356¿VariableDeclarator¿¿7601¿escapeHtml¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4357¿CallExpression¿¿7601¿¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4358¿Identifier¿¿7601¿require¿¿¿{"start":{"line":19,"column":17},"end":{"line":19,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4359¿Literal¿string¿7601¿¿'escape-html'¿¿{"start":{"line":19,"column":25},"end":{"line":19,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4360¿VariableDeclarator¿¿7601¿http¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4361¿CallExpression¿¿7601¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4362¿Identifier¿¿7601¿require¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4363¿Literal¿string¿7601¿¿'http'¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4364¿VariableDeclarator¿¿7601¿v367¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4365¿CallExpression¿¿7601¿¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4366¿Identifier¿¿7601¿require¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4367¿Literal¿string¿7601¿¿'./utils'¿¿{"start":{"line":21,"column":25},"end":{"line":21,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4368¿VariableDeclarator¿¿7601¿isAbsolute¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4369¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":21,"column":17},"end":{"line":21,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
4370¿Identifier¿¿7601¿v367¿¿¿¿¿Identifier
4371¿Identifier¿¿7601¿isAbsolute¿¿¿{"start":{"line":21,"column":36},"end":{"line":21,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4372¿VariableDeclarator¿¿7601¿onFinished¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4373¿CallExpression¿¿7601¿¿¿¿{"start":{"line":22,"column":17},"end":{"line":22,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4374¿Identifier¿¿7601¿require¿¿¿{"start":{"line":22,"column":17},"end":{"line":22,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4375¿Literal¿string¿7601¿¿'on-finished'¿¿{"start":{"line":22,"column":25},"end":{"line":22,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4376¿VariableDeclarator¿¿7601¿path¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4377¿CallExpression¿¿7601¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4378¿Identifier¿¿7601¿require¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4379¿Literal¿string¿7601¿¿'path'¿¿{"start":{"line":23,"column":19},"end":{"line":23,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4380¿VariableDeclarator¿¿7601¿statuses¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4381¿CallExpression¿¿7601¿¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4382¿Identifier¿¿7601¿require¿¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4383¿Literal¿string¿7601¿¿'statuses'¿¿{"start":{"line":24,"column":23},"end":{"line":24,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4384¿VariableDeclarator¿¿7601¿merge¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4385¿CallExpression¿¿7601¿¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4386¿Identifier¿¿7601¿require¿¿¿{"start":{"line":25,"column":12},"end":{"line":25,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4387¿Literal¿string¿7601¿¿'utils-merge'¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4388¿VariableDeclarator¿¿7601¿v368¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4389¿CallExpression¿¿7601¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿CallExpression
4390¿Identifier¿¿7601¿require¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
4391¿Literal¿string¿7601¿¿'cookie-signature'¿¿{"start":{"line":26,"column":19},"end":{"line":26,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Literal
4392¿VariableDeclarator¿¿7601¿sign¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿VariableDeclarator
4393¿MemberExpression¿¿7601¿¿¿¿{"start":{"line":26,"column":11},"end":{"line":26,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿MemberExpression
4394¿Identifier¿¿7601¿v368¿¿¿¿¿Identifier
4395¿Identifier¿¿7601¿sign¿¿¿{"start":{"line":26,"column":39},"end":{"line":26,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/express/response.js"}¿¿Identifier
