Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
882¿Program¿¿-1¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":126,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Program
883¿VariableDeclarator¿¿1562¿express¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
884¿CallExpression¿¿1562¿¿¿¿{"start":{"line":7,"column":16},"end":{"line":7,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
885¿Identifier¿¿1562¿require¿¿¿{"start":{"line":7,"column":16},"end":{"line":7,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
886¿Literal¿string¿1562¿¿'express'¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Literal
887¿VariableDeclarator¿¿1562¿router¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
888¿CallExpression¿¿1562¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿CallExpression
889¿MemberExpression¿¿1562¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿MemberExpression
890¿Identifier¿¿1562¿express¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
891¿Identifier¿¿1562¿Router¿¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿Identifier
892¿VariableDeclarator¿¿1562¿fs¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/memory-graph-interface/fixed_files_router.js"}¿¿VariableDeclarator
