Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
427¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":62,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Program
428¿ExpressionStatement¿¿733¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿ExpressionStatement
429¿AssignmentExpression¿=¿733¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿AssignmentExpression
430¿MemberExpression¿¿733¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿MemberExpression
431¿Identifier¿¿733¿module¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
432¿Identifier¿¿733¿exports¿¿¿{"start":{"line":1,"column":7},"end":{"line":1,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
433¿Identifier¿¿733¿Extract¿¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
434¿VariableDeclarator¿¿733¿Parse¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
435¿CallExpression¿¿733¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿CallExpression
436¿Identifier¿¿733¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
437¿Literal¿string¿733¿¿'./parse'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Literal
438¿VariableDeclarator¿¿733¿fs¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
439¿CallExpression¿¿733¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿CallExpression
440¿Identifier¿¿733¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
441¿Literal¿string¿733¿¿'fs-extra'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Literal
442¿VariableDeclarator¿¿733¿path¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
443¿CallExpression¿¿733¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿CallExpression
444¿Identifier¿¿733¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
445¿Literal¿string¿733¿¿'path'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Literal
446¿VariableDeclarator¿¿733¿stream¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
447¿CallExpression¿¿733¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿CallExpression
448¿Identifier¿¿733¿require¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
449¿Literal¿string¿733¿¿'stream'¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Literal
450¿VariableDeclarator¿¿733¿duplexer2¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
451¿CallExpression¿¿733¿¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿CallExpression
452¿Identifier¿¿733¿require¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Identifier
453¿Literal¿string¿733¿¿'duplexer2'¿¿{"start":{"line":7,"column":26},"end":{"line":7,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿Literal
454¿VariableDeclarator¿exported¿733¿Extract¿¿¿{"start":{"line":9,"column":0},"end":{"line":62,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿VariableDeclarator
455¿FunctionExpression¿¿733¿anon¿¿¿{"start":{"line":9,"column":0},"end":{"line":62,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/node-unzipper/extract.js"}¿¿FunctionExpression
