Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3531¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":460,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿Program
3532¿VariableDeclarator¿¿6292¿haveAVX¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿VariableDeclarator
3533¿Literal¿boolean¿6292¿¿true¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿Literal
3534¿VariableDeclarator¿¿6292¿cpuInfo¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿VariableDeclarator
3535¿Literal¿string¿6292¿¿'No CPU Info'¿¿{"start":{"line":4,"column":14},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿Literal
3536¿VariableDeclarator¿¿6292¿fs¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿VariableDeclarator
3537¿CallExpression¿¿6292¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿CallExpression
3538¿Identifier¿¿6292¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿Identifier
3539¿Literal¿string¿6292¿¿'fs'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿Literal
3540¿VariableDeclarator¿¿6292¿v348¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿VariableDeclarator
3541¿MemberExpression¿¿6292¿¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿MemberExpression
3542¿Identifier¿¿6292¿process¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿Identifier
3543¿Identifier¿¿6292¿platform¿¿¿{"start":{"line":6,"column":24},"end":{"line":6,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿Identifier
3544¿VariableDeclarator¿¿6292¿isLinux¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿VariableDeclarator
3545¿BinaryExpression¿===¿6292¿¿¿¿{"start":{"line":6,"column":16},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿BinaryExpression
3546¿Identifier¿¿6292¿v348¿¿¿¿¿Identifier
3547¿Literal¿string¿6292¿¿'linux'¿¿{"start":{"line":6,"column":37},"end":{"line":6,"column":44},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿Literal
3548¿VariableDeclarator¿¿6292¿err¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿VariableDeclarator
3549¿Identifier¿¿6292¿undefined¿¿¿{"start":{"line":7,"column":10},"end":{"line":7,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿Identifier
3550¿IfStatement¿¿6292¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿IfStatement
3551¿Identifier¿¿6292¿isLinux¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿Identifier
3552¿VariableDeclarator¿¿6292¿v349¿¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿VariableDeclarator
3553¿CallExpression¿¿6292¿¿¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿CallExpression
3554¿MemberExpression¿¿6292¿¿¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿MemberExpression
3555¿Identifier¿¿6292¿fs¿¿¿{"start":{"line":9,"column":21},"end":{"line":9,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/nodensfwjsAPI/v3_nsfwmodel.js"}¿¿Identifier
