Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1292¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":233,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Program
1293¿VariableDeclarator¿¿2244¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿VariableDeclarator
1294¿CallExpression¿¿2244¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿CallExpression
1295¿Identifier¿¿2244¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1296¿Literal¿string¿2244¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Literal
1297¿VariableDeclarator¿¿2244¿v118¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿VariableDeclarator
1298¿CallExpression¿¿2244¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿CallExpression
1299¿Identifier¿¿2244¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1300¿Literal¿string¿2244¿¿'fs'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Literal
1301¿VariableDeclarator¿¿2244¿fs¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿VariableDeclarator
1302¿MemberExpression¿¿2244¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿MemberExpression
1303¿Identifier¿¿2244¿v118¿¿¿¿¿Identifier
1304¿Identifier¿¿2244¿promises¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1305¿VariableDeclarator¿exported¿2244¿safePathJoin¿¿¿{"start":{"line":15,"column":0},"end":{"line":29,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿VariableDeclarator
1306¿FunctionExpression¿¿2244¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":29,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿FunctionExpression
1307¿Identifier¿¿0¿basePath¿¿¿{"start":{"line":15,"column":22},"end":{"line":15,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1308¿Identifier¿¿0¿userPath¿¿¿{"start":{"line":15,"column":32},"end":{"line":15,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1309¿VariableDeclarator¿¿2246¿normalizedBase¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿VariableDeclarator
1310¿CallExpression¿¿2246¿¿¿¿{"start":{"line":17,"column":25},"end":{"line":17,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿CallExpression
1311¿MemberExpression¿¿2246¿¿¿¿{"start":{"line":17,"column":25},"end":{"line":17,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿MemberExpression
1312¿Identifier¿¿2246¿path¿¿¿{"start":{"line":17,"column":25},"end":{"line":17,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1313¿Identifier¿¿2246¿resolve¿¿¿{"start":{"line":17,"column":30},"end":{"line":17,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1314¿Identifier¿¿2246¿basePath¿¿¿{"start":{"line":17,"column":38},"end":{"line":17,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1315¿VariableDeclarator¿¿2246¿joinedPath¿¿¿{"start":{"line":20,"column":8},"end":{"line":20,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿VariableDeclarator
1316¿CallExpression¿¿2246¿¿¿¿{"start":{"line":20,"column":21},"end":{"line":20,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿CallExpression
1317¿MemberExpression¿¿2246¿¿¿¿{"start":{"line":20,"column":21},"end":{"line":20,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿MemberExpression
1318¿Identifier¿¿2246¿path¿¿¿{"start":{"line":20,"column":21},"end":{"line":20,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1319¿Identifier¿¿2246¿join¿¿¿{"start":{"line":20,"column":26},"end":{"line":20,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1320¿Identifier¿¿2246¿normalizedBase¿¿¿{"start":{"line":20,"column":31},"end":{"line":20,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1321¿Identifier¿¿2246¿userPath¿¿¿{"start":{"line":20,"column":47},"end":{"line":20,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1322¿VariableDeclarator¿¿2246¿resolvedPath¿¿¿{"start":{"line":21,"column":8},"end":{"line":21,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿VariableDeclarator
1323¿CallExpression¿¿2246¿¿¿¿{"start":{"line":21,"column":23},"end":{"line":21,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿CallExpression
1324¿MemberExpression¿¿2246¿¿¿¿{"start":{"line":21,"column":23},"end":{"line":21,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿MemberExpression
1325¿Identifier¿¿2246¿path¿¿¿{"start":{"line":21,"column":23},"end":{"line":21,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1326¿Identifier¿¿2246¿resolve¿¿¿{"start":{"line":21,"column":28},"end":{"line":21,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1327¿Identifier¿¿2246¿joinedPath¿¿¿{"start":{"line":21,"column":36},"end":{"line":21,"column":46},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿Identifier
1328¿VariableDeclarator¿¿2246¿v119¿¿¿{"start":{"line":24,"column":48},"end":{"line":24,"column":56},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/picpeak/fileSecurityUtils.js"}¿¿VariableDeclarator
