Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
73¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":42,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/s0va/filename.js"}¿¿Program
74¿ImportDeclaration¿¿130¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/s0va/filename.js"}¿¿ImportDeclaration
75¿ImportDeclaration¿¿130¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/s0va/filename.js"}¿¿ImportDeclaration
76¿VariableDeclarator¿¿130¿v32¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/s0va/filename.js"}¿¿VariableDeclarator
77¿MemberExpression¿¿130¿¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/s0va/filename.js"}¿¿MemberExpression
78¿Identifier¿¿130¿process¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/s0va/filename.js"}¿¿Identifier
79¿Identifier¿¿130¿env¿¿¿{"start":{"line":6,"column":20},"end":{"line":6,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/s0va/filename.js"}¿¿Identifier
80¿VariableDeclarator¿¿130¿v33¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/s0va/filename.js"}¿¿VariableDeclarator
81¿MemberExpression¿¿130¿¿¿¿{"start":{"line":6,"column":12},"end":{"line":6,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/s0va/filename.js"}¿¿MemberExpression
82¿Identifier¿¿130¿v32¿¿¿¿¿Identifier
