Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
323¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":61,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Program
324¿VariableDeclarator¿¿550¿multer¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿VariableDeclarator
325¿CallExpression¿¿550¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿CallExpression
326¿Identifier¿¿550¿require¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
327¿Literal¿string¿550¿¿'multer'¿¿{"start":{"line":2,"column":23},"end":{"line":2,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
328¿VariableDeclarator¿¿550¿path¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿VariableDeclarator
329¿CallExpression¿¿550¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿CallExpression
330¿Identifier¿¿550¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
331¿Literal¿string¿550¿¿'path'¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
332¿VariableDeclarator¿¿550¿crypto¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿VariableDeclarator
333¿CallExpression¿¿550¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿CallExpression
334¿Identifier¿¿550¿require¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
335¿Literal¿string¿550¿¿'crypto'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
336¿VariableDeclarator¿¿550¿ALLOWED_FILE_TYPES¿¿¿{"start":{"line":7,"column":6},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿VariableDeclarator
337¿ObjectExpression¿¿550¿¿¿¿¿¿ObjectExpression
338¿ExpressionStatement¿¿550¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿ExpressionStatement
339¿AssignmentExpression¿=¿550¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿AssignmentExpression
340¿MemberExpression¿computed¿550¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿MemberExpression
341¿Identifier¿¿550¿ALLOWED_FILE_TYPES¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
342¿Literal¿string¿550¿¿'image/jpeg'¿¿{"start":{"line":8,"column":2},"end":{"line":8,"column":14},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
343¿Literal¿string¿550¿¿'.jpg'¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
344¿ExpressionStatement¿¿550¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿ExpressionStatement
345¿AssignmentExpression¿=¿550¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿AssignmentExpression
346¿MemberExpression¿computed¿550¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿MemberExpression
347¿Identifier¿¿550¿ALLOWED_FILE_TYPES¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
348¿Literal¿string¿550¿¿'image/png'¿¿{"start":{"line":9,"column":2},"end":{"line":9,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
349¿Literal¿string¿550¿¿'.png'¿¿{"start":{"line":9,"column":15},"end":{"line":9,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
350¿ExpressionStatement¿¿550¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿ExpressionStatement
351¿AssignmentExpression¿=¿550¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿AssignmentExpression
352¿MemberExpression¿computed¿550¿¿¿¿{"start":{"line":7,"column":6},"end":{"line":11,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿MemberExpression
353¿Identifier¿¿550¿ALLOWED_FILE_TYPES¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
354¿Literal¿string¿550¿¿'application/pdf'¿¿{"start":{"line":10,"column":2},"end":{"line":10,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
355¿Literal¿string¿550¿¿'.pdf'¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
356¿VariableDeclarator¿¿550¿v25¿¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿VariableDeclarator
357¿BinaryExpression¿*¿550¿¿¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿BinaryExpression
358¿Literal¿number¿550¿¿5¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
359¿Literal¿number¿550¿¿1024¿¿{"start":{"line":14,"column":26},"end":{"line":14,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
360¿VariableDeclarator¿¿550¿MAX_FILE_SIZE¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿VariableDeclarator
361¿BinaryExpression¿*¿550¿¿¿¿{"start":{"line":14,"column":22},"end":{"line":14,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿BinaryExpression
362¿Identifier¿¿550¿v25¿¿¿¿¿Identifier
363¿Literal¿number¿550¿¿1024¿¿{"start":{"line":14,"column":33},"end":{"line":14,"column":37},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
364¿VariableDeclarator¿¿550¿v27¿¿¿{"start":{"line":18,"column":15},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿VariableDeclarator
365¿ArrowFunctionExpression¿¿550¿¿¿¿{"start":{"line":18,"column":15},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿ArrowFunctionExpression
366¿Identifier¿¿0¿req¿¿¿{"start":{"line":18,"column":16},"end":{"line":18,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
367¿Identifier¿¿0¿file¿¿¿{"start":{"line":18,"column":21},"end":{"line":18,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
368¿Identifier¿¿0¿cb¿¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
369¿VariableDeclarator¿¿552¿v26¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿VariableDeclarator
370¿CallExpression¿¿552¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿CallExpression
371¿Identifier¿¿552¿cb¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":6},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
372¿Literal¿object¿552¿¿null¿¿{"start":{"line":19,"column":7},"end":{"line":19,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
373¿Literal¿string¿552¿¿'uploads/'¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Literal
374¿ExpressionStatement¿¿552¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿ExpressionStatement
375¿Identifier¿¿552¿v26¿¿¿¿¿Identifier
376¿BlockStatement¿¿552¿¿¿¿{"start":{"line":18,"column":34},"end":{"line":20,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿BlockStatement
377¿VariableDeclarator¿¿550¿v32¿¿¿{"start":{"line":21,"column":12},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿VariableDeclarator
378¿ArrowFunctionExpression¿¿550¿¿¿¿{"start":{"line":21,"column":12},"end":{"line":26,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿ArrowFunctionExpression
379¿Identifier¿¿0¿req¿¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
380¿Identifier¿¿0¿file¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
381¿Identifier¿¿0¿cb¿¿¿{"start":{"line":21,"column":24},"end":{"line":21,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿Identifier
382¿VariableDeclarator¿¿554¿v28¿¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿VariableDeclarator
383¿CallExpression¿¿554¿¿¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":45},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿CallExpression
384¿MemberExpression¿¿554¿¿¿¿{"start":{"line":23,"column":23},"end":{"line":23,"column":41},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/secure-programming-template/fileupload-util.js"}¿¿MemberExpression
