Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4968¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":997,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Program
4969¿ExpressionStatement¿¿8760¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿ExpressionStatement
4970¿Literal¿string¿8760¿¿'use strict'¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
4971¿VariableDeclarator¿¿8760¿createError¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
4972¿CallExpression¿¿8760¿¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":40},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
4973¿Identifier¿¿8760¿require¿¿¿{"start":{"line":15,"column":18},"end":{"line":15,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
4974¿Literal¿string¿8760¿¿'http-errors'¿¿{"start":{"line":15,"column":26},"end":{"line":15,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
4975¿VariableDeclarator¿¿8760¿v500¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
4976¿CallExpression¿¿8760¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
4977¿Identifier¿¿8760¿require¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
4978¿Literal¿string¿8760¿¿'debug'¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
4979¿VariableDeclarator¿¿8760¿debug¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
4980¿CallExpression¿¿8760¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
4981¿Identifier¿¿8760¿v500¿¿¿¿¿Identifier
4982¿Literal¿string¿8760¿¿'send'¿¿{"start":{"line":16,"column":29},"end":{"line":16,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
4983¿VariableDeclarator¿¿8760¿encodeUrl¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
4984¿CallExpression¿¿8760¿¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
4985¿Identifier¿¿8760¿require¿¿¿{"start":{"line":17,"column":16},"end":{"line":17,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
4986¿Literal¿string¿8760¿¿'encodeurl'¿¿{"start":{"line":17,"column":24},"end":{"line":17,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
4987¿VariableDeclarator¿¿8760¿escapeHtml¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
4988¿CallExpression¿¿8760¿¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
4989¿Identifier¿¿8760¿require¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
4990¿Literal¿string¿8760¿¿'escape-html'¿¿{"start":{"line":18,"column":25},"end":{"line":18,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Literal
4991¿VariableDeclarator¿¿8760¿etag¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿VariableDeclarator
4992¿CallExpression¿¿8760¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿CallExpression
4993¿Identifier¿¿8760¿require¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/send/index.js"}¿¿Identifier
