Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1034¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":138,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Program
1035¿VariableDeclarator¿¿1803¿express¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1036¿CallExpression¿¿1803¿¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":34},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1037¿Identifier¿¿1803¿require¿¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1038¿Literal¿string¿1803¿¿'express'¿¿{"start":{"line":1,"column":24},"end":{"line":1,"column":33},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Literal
1039¿VariableDeclarator¿¿1803¿cors¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1040¿CallExpression¿¿1803¿¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1041¿Identifier¿¿1803¿require¿¿¿{"start":{"line":2,"column":13},"end":{"line":2,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1042¿Literal¿string¿1803¿¿'cors'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Literal
1043¿VariableDeclarator¿¿1803¿morgan¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿VariableDeclarator
1044¿CallExpression¿¿1803¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿CallExpression
1045¿Identifier¿¿1803¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Identifier
1046¿Literal¿string¿1803¿¿'morgan'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/sonoverse/fixed_app.js"}¿¿Literal
