Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2140¿Program¿¿-1¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":238,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿Program
2141¿ExpressionStatement¿¿3738¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":13},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿ExpressionStatement
2142¿Literal¿string¿3738¿¿'use strict'¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿Literal
2143¿VariableDeclarator¿¿3738¿_¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿VariableDeclarator
2144¿CallExpression¿¿3738¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿CallExpression
2145¿Identifier¿¿3738¿require¿¿¿{"start":{"line":12,"column":8},"end":{"line":12,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿Identifier
2146¿Literal¿string¿3738¿¿'lodash'¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿Literal
2147¿VariableDeclarator¿¿3738¿Media¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿VariableDeclarator
2148¿CallExpression¿¿3738¿¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿CallExpression
2149¿Identifier¿¿3738¿require¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿Identifier
2150¿Literal¿string¿3738¿¿'./media.model'¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿Literal
2151¿VariableDeclarator¿¿3738¿config¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿VariableDeclarator
2152¿CallExpression¿¿3738¿¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":48},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿CallExpression
2153¿Identifier¿¿3738¿require¿¿¿{"start":{"line":14,"column":13},"end":{"line":14,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿Identifier
2154¿Literal¿string¿3738¿¿'../../config/environment'¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":47},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿Literal
2155¿VariableDeclarator¿¿3738¿path¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/testme/fixed_media-controller.js"}¿¿VariableDeclarator
