Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
7564¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":955,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Program
7565¿VariableDeclarator¿¿13276¿fs¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7566¿CallExpression¿¿13276¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿CallExpression
7567¿Identifier¿¿13276¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7568¿Literal¿string¿13276¿¿'fs'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Literal
7569¿VariableDeclarator¿¿13276¿zlib¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7570¿CallExpression¿¿13276¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿CallExpression
7571¿Identifier¿¿13276¿require¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Identifier
7572¿Literal¿string¿13276¿¿'zlib'¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿Literal
7573¿VariableDeclarator¿¿13276¿fd_slicer¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿VariableDeclarator
7574¿CallExpression¿¿13276¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/github/yauzl/index.js"}¿¿CallExpression
