Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
438¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":44,"column":3},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Program
439¿VariableDeclarator¿¿752¿fs¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
440¿CallExpression¿¿752¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿CallExpression
441¿Identifier¿¿752¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
442¿Literal¿string¿752¿¿'fs'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Literal
443¿VariableDeclarator¿¿752¿path¿¿¿{"start":{"line":2,"column":1},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
444¿CallExpression¿¿752¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿CallExpression
445¿Identifier¿¿752¿require¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":15},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
446¿Literal¿string¿752¿¿'path'¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Literal
447¿VariableDeclarator¿¿752¿v44¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
448¿CallExpression¿¿752¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":32},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿CallExpression
449¿Identifier¿¿752¿require¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
450¿Literal¿string¿752¿¿'ws'¿¿{"start":{"line":3,"column":27},"end":{"line":3,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Literal
451¿VariableDeclarator¿¿752¿WebSocketServer¿¿¿{"start":{"line":3,"column":1},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
452¿MemberExpression¿¿752¿¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿MemberExpression
453¿Identifier¿¿752¿v44¿¿¿¿¿Identifier
454¿Identifier¿¿752¿Server¿¿¿{"start":{"line":3,"column":33},"end":{"line":3,"column":39},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿Identifier
455¿VariableDeclarator¿¿752¿v45¿¿¿{"start":{"line":4,"column":31},"end":{"line":7,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿VariableDeclarator
456¿ObjectExpression¿¿752¿¿¿¿{"start":{"line":4,"column":31},"end":{"line":7,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/recent_snyk/PooledWebSocket/server.js"}¿¿ObjectExpression
