Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
871¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":149,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Program
872¿VariableDeclarator¿¿1510¿fs¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
873¿CallExpression¿¿1510¿¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿CallExpression
874¿Identifier¿¿1510¿require¿¿¿{"start":{"line":3,"column":9},"end":{"line":3,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
875¿Literal¿string¿1510¿¿'fs'¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
876¿VariableDeclarator¿¿1510¿v73¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
877¿CallExpression¿¿1510¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿CallExpression
878¿Identifier¿¿1510¿require¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
879¿Literal¿string¿1510¿¿'minimist'¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
880¿VariableDeclarator¿¿1510¿v74¿¿¿{"start":{"line":4,"column":31},"end":{"line":4,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
881¿MemberExpression¿¿1510¿¿¿¿{"start":{"line":4,"column":31},"end":{"line":4,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿MemberExpression
882¿Identifier¿¿1510¿process¿¿¿{"start":{"line":4,"column":31},"end":{"line":4,"column":38},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
883¿Identifier¿¿1510¿argv¿¿¿{"start":{"line":4,"column":39},"end":{"line":4,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
884¿VariableDeclarator¿¿1510¿v75¿¿¿{"start":{"line":4,"column":31},"end":{"line":4,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
885¿CallExpression¿¿1510¿¿¿¿{"start":{"line":4,"column":31},"end":{"line":4,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿CallExpression
886¿MemberExpression¿¿1510¿¿¿¿{"start":{"line":4,"column":31},"end":{"line":4,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿MemberExpression
887¿Identifier¿¿1510¿v74¿¿¿¿¿Identifier
888¿Identifier¿¿1510¿slice¿¿¿{"start":{"line":4,"column":44},"end":{"line":4,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
889¿Literal¿number¿1510¿¿2¿¿{"start":{"line":4,"column":50},"end":{"line":4,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
890¿VariableDeclarator¿¿1510¿argv¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
891¿CallExpression¿¿1510¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":53},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿CallExpression
892¿Identifier¿¿1510¿v73¿¿¿¿¿Identifier
893¿Identifier¿¿1510¿v75¿¿¿¿¿Identifier
894¿VariableDeclarator¿¿1510¿mime¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
895¿CallExpression¿¿1510¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿CallExpression
896¿Identifier¿¿1510¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
897¿Literal¿string¿1510¿¿'mime'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
898¿VariableDeclarator¿¿1510¿path¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
899¿CallExpression¿¿1510¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿CallExpression
900¿Identifier¿¿1510¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
901¿Literal¿string¿1510¿¿'path'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
902¿VariableDeclarator¿¿1510¿pem¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
903¿CallExpression¿¿1510¿¿¿¿{"start":{"line":7,"column":10},"end":{"line":7,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿CallExpression
904¿Identifier¿¿1510¿require¿¿¿{"start":{"line":7,"column":10},"end":{"line":7,"column":17},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
905¿Literal¿string¿1510¿¿'pem'¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
906¿VariableDeclarator¿¿1510¿https¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿VariableDeclarator
907¿CallExpression¿¿1510¿¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":28},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿CallExpression
908¿Identifier¿¿1510¿require¿¿¿{"start":{"line":8,"column":12},"end":{"line":8,"column":19},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Identifier
909¿Literal¿string¿1510¿¿'https'¿¿{"start":{"line":8,"column":20},"end":{"line":8,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/angular-http-server_1.0.0/angular-http-server.js"}¿¿Literal
