Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2432¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":271,"column":2},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Program
2433¿VariableDeclarator¿¿4298¿fs¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿VariableDeclarator
2434¿CallExpression¿¿4298¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿CallExpression
2435¿Identifier¿¿4298¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Identifier
2436¿Literal¿string¿4298¿¿'fs'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Literal
2437¿VariableDeclarator¿¿4298¿cleanUrl¿¿¿{"start":{"line":4,"column":4},"end":{"line":8,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿VariableDeclarator
2438¿FunctionExpression¿¿4298¿anon¿¿¿{"start":{"line":4,"column":15},"end":{"line":8,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿FunctionExpression
2439¿Identifier¿¿0¿url¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":27},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Identifier
2440¿ExpressionStatement¿¿4300¿¿¿¿{"start":{"line":5,"column":1},"end":{"line":5,"column":31},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿ExpressionStatement
2441¿AssignmentExpression¿=¿4300¿¿¿¿{"start":{"line":5,"column":1},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿AssignmentExpression
2442¿Identifier¿¿4300¿url¿¿¿{"start":{"line":5,"column":1},"end":{"line":5,"column":4},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Identifier
2443¿CallExpression¿¿4300¿¿¿¿{"start":{"line":5,"column":7},"end":{"line":5,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿CallExpression
2444¿Identifier¿¿4300¿decodeURIComponent¿¿¿{"start":{"line":5,"column":7},"end":{"line":5,"column":25},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Identifier
2445¿Identifier¿¿4300¿url¿¿¿{"start":{"line":5,"column":26},"end":{"line":5,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Identifier
2446¿VariableDeclarator¿¿4300¿v264¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿VariableDeclarator
2447¿CallExpression¿¿4300¿¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":24},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿CallExpression
2448¿MemberExpression¿¿4300¿¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿MemberExpression
2449¿Identifier¿¿4300¿url¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":10},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Identifier
2450¿Identifier¿¿4300¿indexOf¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Identifier
2451¿Literal¿string¿4300¿¿'..'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":23},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Literal
2452¿VariableDeclarator¿¿4300¿v265¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿VariableDeclarator
2453¿BinaryExpression¿>=¿4300¿¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿BinaryExpression
2454¿Identifier¿¿4300¿v264¿¿¿¿¿Identifier
2455¿Literal¿number¿4300¿¿0¿¿{"start":{"line":6,"column":28},"end":{"line":6,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Literal
2456¿WhileStatement¿¿4300¿¿¿¿{"start":{"line":6,"column":1},"end":{"line":6,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿WhileStatement
2457¿Identifier¿¿4300¿v265¿¿¿¿¿Identifier
2458¿ExpressionStatement¿¿4300¿¿¿¿{"start":{"line":6,"column":33},"end":{"line":6,"column":61},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿ExpressionStatement
2459¿AssignmentExpression¿=¿4300¿¿¿¿{"start":{"line":6,"column":33},"end":{"line":6,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿AssignmentExpression
2460¿Identifier¿¿4300¿url¿¿¿{"start":{"line":6,"column":33},"end":{"line":6,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Identifier
2461¿CallExpression¿¿4300¿¿¿¿{"start":{"line":6,"column":39},"end":{"line":6,"column":60},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿CallExpression
2462¿MemberExpression¿¿4300¿¿¿¿{"start":{"line":6,"column":39},"end":{"line":6,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿MemberExpression
2463¿Identifier¿¿4300¿url¿¿¿{"start":{"line":6,"column":39},"end":{"line":6,"column":42},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Identifier
2464¿Identifier¿¿4300¿replace¿¿¿{"start":{"line":6,"column":43},"end":{"line":6,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Identifier
2465¿Literal¿string¿4300¿¿'..'¿¿{"start":{"line":6,"column":51},"end":{"line":6,"column":55},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Literal
2466¿Literal¿string¿4300¿¿''¿¿{"start":{"line":6,"column":57},"end":{"line":6,"column":59},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Literal
2467¿ExpressionStatement¿¿4300¿¿¿¿{"start":{"line":6,"column":1},"end":{"line":6,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿ExpressionStatement
2468¿AssignmentExpression¿=¿4300¿¿¿¿{"start":{"line":6,"column":1},"end":{"line":6,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿AssignmentExpression
2469¿Identifier¿¿4300¿v265¿¿¿{"start":{"line":6,"column":1},"end":{"line":6,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Identifier
2470¿BinaryExpression¿>=¿4300¿¿¿¿{"start":{"line":6,"column":7},"end":{"line":6,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿BinaryExpression
2471¿Identifier¿¿4300¿v264¿¿¿¿¿Identifier
2472¿Literal¿number¿4300¿¿0¿¿{"start":{"line":6,"column":28},"end":{"line":6,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Literal
2473¿BlockStatement¿¿4300¿¿¿¿{"start":{"line":6,"column":31},"end":{"line":6,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿BlockStatement
2474¿ReturnStatement¿¿4300¿¿¿¿{"start":{"line":7,"column":1},"end":{"line":7,"column":12},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿ReturnStatement
2475¿Identifier¿¿4300¿url¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":11},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿Identifier
2476¿BlockStatement¿¿4300¿¿¿¿{"start":{"line":4,"column":29},"end":{"line":8,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿BlockStatement
2477¿VariableDeclarator¿exported¿4298¿v526¿¿¿{"start":{"line":16,"column":0},"end":{"line":271,"column":1},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Secure/path_traversal/secbench/crud-file-server_0.7.0/crud-file-server.js"}¿¿VariableDeclarator
